code,trade_date,open_price,high_price,low_price,close_price,volume,amount,adjust_factor,turnover_rate,market,adjustment,data_source,created_at,updated_at
510180.SH,2006-05-18,2.99,3.05,2.952,3.008,829090.0,247482675.0,1.0,3.22,sh,none,eastmoney,2026-04-09 16:48:50.799895,2026-04-09 16:48:50.799895
510180.SH,2006-05-19,2.991,3.185,2.991,3.097,505586.0,155558157.0,1.0,6.45,sh,none,eastmoney,2026-04-09 16:48:50.799895,2026-04-09 16:48:50.799895
510180.SH,2006-05-22,3.1,3.16,3.07,3.121,337417.0,105562327.0,1.0,2.91,sh,none,eastmoney,2026-04-09 16:48:50.799895,2026-04-09 16:48:50.799895
510180.SH,2006-05-23,3.05,3.155,2.98,2.997,288740.0,87670805.0,1.0,5.61,sh,none,eastmoney,2026-04-09 16:48:50.799895,2026-04-09 16:48:50.799895
510180.SH,2006-05-24,3.005,3.051,2.928,2.957,227895.0,68255865.0,1.0,4.1,sh,none,eastmoney,2026-04-09 16:48:50.799895,2026-04-09 16:48:50.799895
510180.SH,2006-05-25,2.958,3.01,2.951,2.976,48851.0,14495469.0,1.0,2.0,sh,none,eastmoney,2026-04-09 16:48:50.799895,2026-04-09 16:48:50.799895
510180.SH,2006-05-26,2.976,3.045,2.976,3.033,149146.0,45042955.0,1.0,2.32,sh,none,eastmoney,2026-04-09 16:48:50.799895,2026-04-09 16:48:50.799895
510180.SH,2006-05-29,3.033,3.129,3.033,3.128,141337.0,43639320.0,1.0,3.17,sh,none,eastmoney,2026-04-09 16:48:50.799895,2026-04-09 16:48:50.799895
510180.SH,2006-05-30,3.13,3.162,3.122,3.148,65591.0,20618140.0,1.0,1.28,sh,none,eastmoney,2026-04-09 16:48:50.799895,2026-04-09 16:48:50.799895
510180.SH,2006-05-31,3.14,3.172,3.1,3.12,140223.0,44132756.0,1.0,2.29,sh,none,eastmoney,2026-04-09 16:48:50.799895,2026-04-09 16:48:50.799895
510180.SH,2006-06-01,3.12,3.225,3.115,3.222,47602.0,15212181.0,1.0,3.53,sh,none,eastmoney,2026-04-09 16:48:50.799895,2026-04-09 16:48:50.799895
510180.SH,2006-06-02,3.25,3.258,3.18,3.2,31852.0,10245594.0,1.0,2.42,sh,none,eastmoney,2026-04-09 16:48:50.799895,2026-04-09 16:48:50.799895
510180.SH,2006-06-05,3.2,3.2,3.13,3.194,46304.0,14685230.0,1.0,2.19,sh,none,eastmoney,2026-04-09 16:48:50.799895,2026-04-09 16:48:50.799895
510180.SH,2006-06-06,3.189,3.22,3.16,3.192,13335.0,4261924.0,1.0,1.88,sh,none,eastmoney,2026-04-09 16:48:50.799895,2026-04-09 16:48:50.799895
510180.SH,2006-06-07,3.192,3.192,3.0,3.032,61444.0,19013235.0,1.0,6.02,sh,none,eastmoney,2026-04-09 16:48:50.799895,2026-04-09 16:48:50.799895
510180.SH,2006-06-08,3.0,3.05,2.98,3.03,22795.0,6833891.0,1.0,2.31,sh,none,eastmoney,2026-04-09 16:48:50.799895,2026-04-09 16:48:50.799895
510180.SH,2006-06-09,3.015,3.09,2.982,2.984,59367.0,17866353.0,1.0,3.56,sh,none,eastmoney,2026-04-09 16:48:50.799895,2026-04-09 16:48:50.799895
510180.SH,2006-06-12,2.98,3.003,2.946,2.98,46518.0,13775735.0,1.0,1.91,sh,none,eastmoney,2026-04-09 16:48:50.799895,2026-04-09 16:48:50.799895
510180.SH,2006-06-13,2.981,3.011,2.97,2.985,7595.0,2277868.0,1.0,1.38,sh,none,eastmoney,2026-04-09 16:48:50.799895,2026-04-09 16:48:50.799895
