code,trade_date,open_price,high_price,low_price,close_price,volume,amount,adjust_factor,turnover_rate,market,adjustment,data_source,created_at,updated_at
160520.SH,2016-10-26,0.956,0.99,0.956,0.981,120.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.989492,2026-04-07 15:46:48.989492
160520.SH,2016-10-27,0.985,0.998,0.985,0.988,255.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.990601,2026-04-07 15:46:48.990601
160520.SH,2016-10-28,1.08,1.08,1.0,1.001,104.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.990601,2026-04-07 15:46:48.990601
160520.SH,2016-10-31,0.966,1.004,0.966,1.004,4013.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.990601,2026-04-07 15:46:48.990601
160520.SH,2016-11-01,0.989,0.989,0.971,0.982,880.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.990601,2026-04-07 15:46:48.990601
160520.SH,2016-11-02,0.986,0.986,0.986,0.986,8.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.990601,2026-04-07 15:46:48.990601
160520.SH,2016-11-03,0.974,0.978,0.974,0.978,50.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.990601,2026-04-07 15:46:48.990601
160520.SH,2016-11-04,0.975,0.984,0.975,0.983,1254.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.990601,2026-04-07 15:46:48.990601
160520.SH,2016-11-07,0.976,0.98,0.976,0.98,130.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.990601,2026-04-07 15:46:48.990601
160520.SH,2016-11-09,0.979,0.979,0.975,0.975,469.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.990601,2026-04-07 15:46:48.990601
160520.SH,2016-11-10,0.976,0.976,0.962,0.964,12324.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.990601,2026-04-07 15:46:48.990601
160520.SH,2016-11-11,0.964,0.964,0.96,0.963,821.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.990601,2026-04-07 15:46:48.990601
160520.SH,2016-11-14,0.964,0.964,0.96,0.963,1435.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.990601,2026-04-07 15:46:48.990601
160520.SH,2016-11-15,0.96,0.962,0.96,0.96,1075.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.990601,2026-04-07 15:46:48.990601
160520.SH,2016-11-16,0.96,0.96,0.96,0.96,559.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.990601,2026-04-07 15:46:48.990601
160520.SH,2016-11-17,0.962,0.962,0.958,0.962,963.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.990601,2026-04-07 15:46:48.990601
160520.SH,2016-11-18,0.96,0.964,0.96,0.964,1564.0,0.0,1.0,,sz,none,tencent,2026-04-07 15:46:48.990601,2026-04-07 15:46:48.990601
