trade_date,open,high,low,close,volume,amount,adjust_factor,source,updated_at
2010-01-04,2.822,2.832,2.775,2.777,531650.0,149144730.0,1.0,finshare,2026-06-23T15:49:24
2010-01-05,2.78,2.822,2.755,2.813,681409.0,190006729.0,1.0,finshare,2026-06-23T15:49:24
2010-01-06,2.813,2.845,2.792,2.808,691825.0,195424933.0,1.0,finshare,2026-06-23T15:49:24
2010-01-07,2.798,2.812,2.718,2.738,1207753.0,334114097.0,1.0,finshare,2026-06-23T15:49:24
2010-01-08,2.721,2.744,2.699,2.739,835221.0,227043928.0,1.0,finshare,2026-06-23T15:49:24
2010-01-11,2.835,2.845,2.721,2.741,1392251.0,385116152.0,1.0,finshare,2026-06-23T15:49:24
2010-01-12,2.735,2.784,2.7,2.782,880107.0,240989219.0,1.0,finshare,2026-06-23T15:49:24
2010-01-13,2.721,2.737,2.666,2.674,1285781.0,347486412.0,1.0,finshare,2026-06-23T15:49:24
2010-01-14,2.687,2.72,2.67,2.71,1150978.0,309292148.0,1.0,finshare,2026-06-23T15:49:24
2010-01-15,2.714,2.736,2.693,2.718,465175.0,126133551.0,1.0,finshare,2026-06-23T15:49:24
2010-01-18,2.71,2.73,2.7,2.727,669931.0,182031235.0,1.0,finshare,2026-06-23T15:49:24
2010-01-19,2.736,2.76,2.73,2.732,774770.0,212668587.0,1.0,finshare,2026-06-23T15:49:24
2010-01-20,2.733,2.75,2.64,2.65,1059800.0,285212703.0,1.0,finshare,2026-06-23T15:49:24
2010-01-21,2.653,2.67,2.638,2.655,1124266.0,298222576.0,1.0,finshare,2026-06-23T15:49:24
2010-01-22,2.625,2.668,2.585,2.654,974393.0,255746159.0,1.0,finshare,2026-06-23T15:49:24
2010-01-25,2.628,2.654,2.6,2.608,1754985.0,460442966.0,1.0,finshare,2026-06-23T15:49:24
2010-01-26,2.608,2.62,2.535,2.542,1020966.0,262357148.0,1.0,finshare,2026-06-23T15:49:24
2010-01-27,2.545,2.554,2.495,2.507,534294.0,135082978.0,1.0,finshare,2026-06-23T15:49:24
2010-01-28,2.511,2.518,2.483,2.492,1335372.0,333614421.0,1.0,finshare,2026-06-23T15:49:24
2010-01-29,2.49,2.523,2.478,2.49,626341.0,157029512.0,1.0,finshare,2026-06-23T15:49:24
2010-02-01,2.486,2.494,2.428,2.449,542713.0,133059432.0,1.0,finshare,2026-06-23T15:49:24
2010-02-02,2.45,2.493,2.443,2.447,256845.0,63462789.0,1.0,finshare,2026-06-23T15:49:24
2010-02-03,2.455,2.524,2.418,2.516,667209.0,165700823.0,1.0,finshare,2026-06-23T15:49:24
2010-02-04,2.495,2.521,2.482,2.504,228873.0,57252861.0,1.0,finshare,2026-06-23T15:49:24
2010-02-05,2.45,2.465,2.437,2.449,269645.0,66016067.0,1.0,finshare,2026-06-23T15:49:24
2010-02-08,2.443,2.462,2.436,2.451,153437.0,37574597.0,1.0,finshare,2026-06-23T15:49:24
2010-02-09,2.449,2.475,2.44,2.464,123962.0,30496200.0,1.0,finshare,2026-06-23T15:49:24
2010-02-10,2.476,2.495,2.47,2.491,119931.0,29753343.0,1.0,finshare,2026-06-23T15:49:24
2010-02-11,2.491,2.503,2.48,2.493,246557.0,61482213.0,1.0,finshare,2026-06-23T15:49:24
2010-02-12,2.496,2.521,2.496,2.519,123517.0,31046885.0,1.0,finshare,2026-06-23T15:49:24
2010-02-22,2.521,2.532,2.51,2.511,330482.0,83380745.0,1.0,finshare,2026-06-23T15:49:24
2010-02-23,2.505,2.505,2.465,2.489,130591.0,32386585.0,1.0,finshare,2026-06-23T15:49:24
2010-02-24,2.474,2.526,2.462,2.522,254477.0,63725520.0,1.0,finshare,2026-06-23T15:49:24
2010-02-25,2.53,2.556,2.526,2.555,314890.0,80156987.0,1.0,finshare,2026-06-23T15:49:24
2010-02-26,2.541,2.561,2.532,2.536,258208.0,65782158.0,1.0,finshare,2026-06-23T15:49:24
2010-03-01,2.537,2.578,2.537,2.571,291182.0,74595297.0,1.0,finshare,2026-06-23T15:49:24
2010-03-02,2.576,2.587,2.548,2.556,209798.0,53829127.0,1.0,finshare,2026-06-23T15:49:24
2010-03-03,2.553,2.575,2.546,2.571,305625.0,78229920.0,1.0,finshare,2026-06-23T15:49:24
2010-03-04,2.566,2.58,2.51,2.513,424503.0,107970290.0,1.0,finshare,2026-06-23T15:49:24
2010-03-05,2.515,2.534,2.51,2.52,358800.0,90480124.0,1.0,finshare,2026-06-23T15:49:24
2010-03-08,2.52,2.555,2.519,2.545,295957.0,75251237.0,1.0,finshare,2026-06-23T15:49:24
2010-03-09,2.537,2.578,2.524,2.558,481780.0,122889578.0,1.0,finshare,2026-06-23T15:49:24
2010-03-10,2.558,2.577,2.537,2.545,367615.0,93998394.0,1.0,finshare,2026-06-23T15:49:24
2010-03-11,2.542,2.564,2.527,2.552,233688.0,59556440.0,1.0,finshare,2026-06-23T15:49:24
2010-03-12,2.55,2.556,2.511,2.513,275055.0,69604308.0,1.0,finshare,2026-06-23T15:49:24
2010-03-15,2.51,2.513,2.469,2.485,290556.0,72162186.0,1.0,finshare,2026-06-23T15:49:24
2010-03-16,2.485,2.489,2.467,2.487,145346.0,36041988.0,1.0,finshare,2026-06-23T15:49:24
2010-03-17,2.494,2.53,2.488,2.53,220333.0,55363522.0,1.0,finshare,2026-06-23T15:49:24
2010-03-18,2.535,2.537,2.51,2.526,139281.0,35197169.0,1.0,finshare,2026-06-23T15:49:24
2010-03-19,2.526,2.54,2.506,2.539,240533.0,60633530.0,1.0,finshare,2026-06-23T15:49:24
2010-03-22,2.539,2.551,2.526,2.544,220426.0,56049494.0,1.0,finshare,2026-06-23T15:49:24
2010-03-23,2.54,2.554,2.525,2.526,255412.0,64908450.0,1.0,finshare,2026-06-23T15:49:24
2010-03-24,2.527,2.545,2.522,2.529,167720.0,42510292.0,1.0,finshare,2026-06-23T15:49:24
2010-03-25,2.523,2.524,2.496,2.502,121949.0,30529582.0,1.0,finshare,2026-06-23T15:49:24
2010-03-26,2.497,2.56,2.496,2.543,338155.0,85832953.0,1.0,finshare,2026-06-23T15:49:24
2010-03-29,2.55,2.607,2.55,2.603,546789.0,141486465.0,1.0,finshare,2026-06-23T15:49:24
2010-03-30,2.602,2.605,2.587,2.604,310349.0,80616220.0,1.0,finshare,2026-06-23T15:49:24
2010-03-31,2.602,2.602,2.575,2.582,146933.0,38037566.0,1.0,finshare,2026-06-23T15:49:24
