trade_date,open,high,low,close,volume,amount,adjust_factor,source,updated_at,nav,acc_nav,index_close,fx_rate
2014-01-15,0.994,0.996,0.976,0.986,1328554.0,130998296.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-01-16,0.988,0.994,0.988,0.991,397330.0,39379678.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-01-17,0.993,0.993,0.985,0.987,169781.0,16786119.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-01-20,0.983,0.988,0.982,0.982,139374.0,13745061.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-01-21,0.982,0.996,0.97,0.984,218530.0,21520868.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-01-22,0.984,0.988,0.973,0.979,258991.0,25372839.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-01-23,0.985,0.99,0.977,0.988,115347.0,11384440.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-01-24,0.983,0.994,0.98,0.99,134147.0,13247096.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-01-27,0.979,0.979,0.969,0.97,28052.0,2722491.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-01-28,0.97,0.97,0.959,0.964,43444.0,4183702.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-01-29,0.97,0.979,0.97,0.977,41182.0,4011234.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-01-30,0.965,0.967,0.961,0.967,22712.0,2189830.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-02-07,0.963,0.973,0.962,0.973,29876.0,2895017.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-02-10,0.973,0.98,0.97,0.97,79147.0,7710451.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-02-11,0.966,0.98,0.966,0.975,214256.0,20870112.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-02-12,0.978,0.989,0.975,0.987,103932.0,10224769.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-02-13,0.98,0.991,0.98,0.987,59963.0,5930564.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-02-14,0.995,1.0,0.994,0.997,93918.0,9351591.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-02-17,1.0,1.003,0.999,1.001,93130.0,9321102.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-02-18,1.0,1.002,0.999,1.0,68323.0,6833306.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-02-19,1.0,1.004,1.0,1.004,119844.0,12005533.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-02-20,1.0,1.002,0.995,1.0,32449.0,3240350.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-02-21,1.001,1.006,1.001,1.003,74749.0,7510051.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-02-24,1.004,1.005,1.002,1.005,37325.0,3745747.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-02-25,1.009,1.013,1.009,1.013,124849.0,12615654.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-02-26,1.009,1.016,1.009,1.016,72220.0,7318937.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-02-27,1.016,1.016,1.011,1.015,27037.0,2738662.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-02-28,1.019,1.026,1.016,1.024,43344.0,4422678.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-03-03,1.025,1.03,1.02,1.026,30976.0,3176651.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-03-04,1.022,1.023,1.016,1.022,47514.0,4842956.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-03-05,1.039,1.039,1.027,1.031,43288.0,4457560.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-03-06,1.03,1.034,1.028,1.033,35550.0,3662874.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-03-07,1.04,1.04,1.03,1.034,36490.0,3770353.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-03-10,1.034,1.035,1.03,1.031,35678.0,3682825.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-03-11,1.03,1.039,1.03,1.039,44359.0,4586106.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-03-12,1.032,1.035,1.028,1.029,43173.0,4449450.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-03-13,1.031,1.035,1.027,1.034,63323.0,6522613.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-03-14,1.024,1.024,1.018,1.018,37632.0,3843551.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-03-17,1.018,1.023,1.018,1.022,27102.0,2764225.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-03-18,1.029,1.034,1.027,1.033,25478.0,2626432.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-03-19,1.034,1.039,1.0,1.037,19267.0,1993999.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-03-20,1.035,1.035,1.02,1.03,32017.0,3297040.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-03-21,1.036,1.037,1.033,1.033,35795.0,3707209.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-03-24,1.031,1.034,1.031,1.033,15957.0,1646603.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-03-25,1.032,1.032,1.026,1.031,17888.0,1842746.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-03-26,1.036,1.037,1.033,1.036,21841.0,2262284.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-03-27,1.033,1.033,1.027,1.029,14928.0,1534916.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-03-28,1.027,1.028,1.025,1.028,19257.0,1975755.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-03-31,1.032,1.033,1.029,1.033,17046.0,1758929.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-04-01,1.038,1.04,1.038,1.04,28957.0,3009940.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-04-02,1.04,1.049,1.04,1.048,33295.0,3483301.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-04-03,1.047,1.051,1.047,1.05,26143.0,2744779.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-04-04,1.049,1.05,1.047,1.049,16779.0,1760048.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-04-08,1.022,1.03,1.022,1.029,26033.0,2670596.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-04-09,1.035,1.035,1.027,1.03,18881.0,1943846.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-04-10,1.04,1.04,1.035,1.038,27942.0,2899155.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-04-11,1.008,1.016,1.008,1.014,35147.0,3564736.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-04-14,1.009,1.009,1.005,1.008,9348.0,940656.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-04-15,1.01,1.018,1.01,1.018,28272.0,2876405.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-04-16,1.025,1.026,1.023,1.026,5849.0,599262.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-04-17,1.037,1.037,1.032,1.033,25881.0,2678901.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-04-18,1.037,1.037,1.032,1.034,18468.0,1910419.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-04-21,1.034,1.037,1.034,1.034,12772.0,1322897.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-04-22,1.039,1.039,1.036,1.038,23748.0,2464742.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-04-23,1.04,1.045,1.04,1.042,31487.0,3282516.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-04-24,1.042,1.044,1.041,1.044,29893.0,3116874.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-04-25,1.044,1.046,1.042,1.043,20388.0,2129227.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-04-28,1.037,1.037,1.032,1.032,9753.0,1007919.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-04-29,1.036,1.04,1.036,1.038,13310.0,1383311.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-04-30,1.043,1.043,0.992,1.04,26267.0,2664533.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-05-05,1.042,1.044,1.041,1.041,6249.0,651363.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-05-06,1.045,1.048,1.044,1.048,34667.0,3631724.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-05-07,1.035,1.038,1.035,1.038,12952.0,1343637.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-05-08,1.042,1.042,1.04,1.042,3552.0,369815.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-05-09,1.042,1.042,1.039,1.041,6385.0,664127.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-05-12,1.04,1.044,1.04,1.043,5954.0,620704.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-05-13,1.045,1.053,1.045,1.051,25153.0,2644597.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-05-14,1.053,1.057,1.052,1.055,41321.0,4358586.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-05-15,1.053,1.053,1.05,1.052,34416.0,3618615.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-05-16,1.043,1.044,1.042,1.043,50364.0,5250573.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-05-19,1.042,1.046,1.042,1.045,14727.0,1539731.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-05-20,1.043,1.048,1.043,1.047,23984.0,2507781.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-05-21,1.04,1.041,1.039,1.041,9759.0,1014978.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-05-22,1.049,1.052,1.048,1.052,31257.0,3284094.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-05-23,1.052,1.053,1.05,1.05,9611.0,1009464.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-05-26,1.056,1.056,1.054,1.056,19774.0,2086165.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-05-27,1.056,1.056,1.054,1.056,27231.0,2873607.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-05-28,1.061,1.062,1.06,1.061,12368.0,1311834.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-05-29,1.06,1.062,1.059,1.062,16536.0,1753714.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-05-30,1.066,1.068,1.066,1.067,32842.0,3503491.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-06-03,1.078,1.078,1.068,1.071,7624.0,815446.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-06-04,1.069,1.074,1.068,1.073,29054.0,3113118.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-06-05,1.098,1.098,1.071,1.075,24277.0,2607712.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-06-06,1.083,1.084,1.08,1.084,16436.0,1778925.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-06-09,1.087,1.087,1.083,1.086,10856.0,1177522.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-06-10,1.087,1.087,1.083,1.084,6784.0,735829.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-06-11,1.084,1.084,1.081,1.082,4277.0,462857.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-06-12,1.078,1.08,1.077,1.079,3589.0,387126.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-06-13,1.068,1.073,1.068,1.071,5345.0,572541.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-06-16,1.072,1.075,1.072,1.073,3996.0,428820.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-06-17,1.073,1.075,1.073,1.075,2206.0,237064.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-06-18,1.076,1.078,1.076,1.076,5730.0,616632.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-06-19,1.085,1.09,1.083,1.09,20428.0,2221303.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-06-20,1.086,1.091,1.086,1.091,7012.0,763967.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-06-23,1.1,1.186,1.089,1.092,5688.0,624059.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-06-24,1.09,1.092,1.089,1.092,7660.0,835430.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-06-25,1.088,1.088,1.082,1.084,6131.0,664360.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-06-26,1.087,1.09,1.087,1.09,4379.0,476713.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-06-27,1.09,1.091,1.086,1.091,6979.0,759648.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-06-30,1.092,1.094,1.09,1.093,17274.0,1886125.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-07-01,1.091,1.094,1.091,1.093,9491.0,1036926.0,1.0,finshare,2026-05-31T01:21:59,,,,
2014-07-02,1.096,1.099,1.096,1.099,6108.0,670318.0,1.0,finshare,2026-05-31T01:21:59,,,,
