trade_date,open,high,low,close,volume,amount,adjust_factor,source,updated_at
2011-01-04,100.2104,100.2104,100.2104,100.2104,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-01-05,100.6073,100.6073,100.6073,100.6073,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-01-06,100.5305,100.5305,100.5305,100.5305,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-01-07,100.623,100.623,100.623,100.623,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-01-10,100.5296,100.5296,100.5296,100.5296,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-01-11,100.3314,100.3314,100.3314,100.3314,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-01-12,100.4559,100.4559,100.4559,100.4559,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-01-13,100.372,100.372,100.372,100.372,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-01-14,100.0856,100.0856,100.0856,100.0856,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-01-17,99.8848,99.8848,99.8848,99.8848,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-01-18,99.6494,99.6494,99.6494,99.6494,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-01-19,99.7926,99.7926,99.7926,99.7926,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-01-20,99.8051,99.8051,99.8051,99.8051,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-01-21,99.6199,99.6199,99.6199,99.6199,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-01-24,99.5921,99.5921,99.5921,99.5921,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-01-25,99.4627,99.4627,99.4627,99.4627,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-01-26,99.5356,99.5356,99.5356,99.5356,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-01-27,99.512,99.512,99.512,99.512,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-01-28,99.5356,99.5356,99.5356,99.5356,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-01-30,99.5562,99.5562,99.5562,99.5562,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-01-31,99.4964,99.4964,99.4964,99.4964,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-02-01,99.503,99.503,99.503,99.503,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-02-09,99.0412,99.0412,99.0412,99.0412,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-02-10,98.8959,98.8959,98.8959,98.8959,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-02-11,98.9848,98.9848,98.9848,98.9848,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-02-12,98.9766,98.9766,98.9766,98.9766,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-02-14,99.3884,99.3884,99.3884,99.3884,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-02-15,99.525,99.525,99.525,99.525,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-02-16,99.5354,99.5354,99.5354,99.5354,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-02-17,99.5457,99.5457,99.5457,99.5457,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-02-18,99.5563,99.5563,99.5563,99.5563,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-02-21,99.3881,99.3881,99.3881,99.3881,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-02-22,99.6125,99.6125,99.6125,99.6125,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-02-23,100.0738,100.0738,100.0738,100.0738,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-02-24,100.6452,100.6452,100.6452,100.6452,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-02-25,100.3293,100.3293,100.3293,100.3293,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-02-28,100.4685,100.4685,100.4685,100.4685,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-03-01,100.4903,100.4903,100.4903,100.4903,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-03-02,100.5646,100.5646,100.5646,100.5646,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-03-03,100.5349,100.5349,100.5349,100.5349,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-03-04,100.4647,100.4647,100.4647,100.4647,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-03-07,100.5295,100.5295,100.5295,100.5295,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-03-08,100.7816,100.7816,100.7816,100.7816,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-03-09,100.756,100.756,100.756,100.756,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
2011-03-10,100.4816,100.4816,100.4816,100.4816,0.0,0.0,1.0,chinabond_official,2026-08-04T15:34:50
