date,bond_ytm_30y,bond_ytm_10y
2013-01-04,4.2035,3.6062
2013-01-05,4.2026,3.6003
2013-01-06,4.2021,3.595
2013-01-07,4.2023,3.5965
2013-01-08,4.2023,3.5943
2013-01-09,4.2023,3.575
2013-01-10,4.2045,3.595
2013-01-11,4.2049,3.5999
2013-01-14,4.2053,3.6023
2013-01-15,4.2051,3.6008
2013-01-16,4.2054,3.6047
2013-01-17,4.2044,3.5986
2013-01-18,4.2026,3.5834
2013-01-21,4.2013,3.5743
2013-01-22,4.2009,3.5705
2013-01-23,4.2009,3.5682
2013-01-24,4.2059,3.5816
2013-01-25,4.2061,3.5837
2013-01-28,4.2109,3.6042
2013-01-29,4.214,3.6116
2013-01-30,4.209,3.6053
2013-01-31,4.209,3.6054
2013-02-01,4.2065,3.6004
2013-02-04,4.2067,3.6016
2013-02-05,4.2017,3.591
2013-02-06,4.2021,3.5922
2013-02-07,4.2026,3.5928
2013-02-08,4.1994,3.5859
2013-02-16,4.2023,3.5922
2013-02-17,4.1989,3.5847
2013-02-18,4.2024,3.5929
2013-02-19,4.2054,3.5931
2013-02-20,4.1979,3.5632
2013-02-21,4.1925,3.5623
2013-02-22,4.1944,3.5708
2013-02-25,4.1973,3.5821
2013-02-26,4.1998,3.5948
2013-02-27,4.1988,3.5904
2013-02-28,4.2001,3.5957
2013-03-01,4.1982,3.5878
2013-03-04,4.1959,3.5785
2013-03-05,4.1953,3.576
2013-03-06,4.1963,3.5802
2013-03-07,4.1966,3.5813
2013-03-08,4.1968,3.5816
2013-03-11,4.1993,3.583
2013-03-12,4.201,3.5897
2013-03-13,4.2035,3.5898
2013-03-14,4.204,3.5919
2013-03-15,4.204,3.5919
2013-03-18,4.2053,3.5971
2013-03-19,4.2053,3.5922
2013-03-20,4.2003,3.5722
2013-03-21,4.2022,3.5819
2013-03-22,4.202,3.5816
2013-03-25,4.2009,3.577
2013-03-26,4.1997,3.5717
2013-03-27,4.1972,3.5611
2013-03-28,4.1934,3.5505
2013-03-29,4.1907,3.5392
2013-04-01,4.1885,3.5303
2013-04-02,4.1835,3.5106
2013-04-03,4.181,3.5005
2013-04-07,4.1786,3.4907
2013-04-08,4.1785,3.4905
2013-04-09,4.1735,3.4705
2013-04-10,4.1709,3.4624
2013-04-11,4.1732,3.4705
2013-04-12,4.1719,3.4655
2013-04-15,4.1719,3.4405
2013-04-16,4.1619,3.4005
2013-04-17,4.1645,3.4131
2013-04-18,4.172,3.4431
2013-04-19,4.172,3.4503
2013-04-22,4.1746,3.4867
2013-04-23,4.1724,3.4629
2013-04-24,4.1705,3.4498
2013-04-25,4.1672,3.4314
2013-04-26,4.1722,3.4313
2013-04-27,4.1722,3.4311
2013-04-28,4.1722,3.4314
2013-05-02,4.1698,3.4119
2013-05-03,4.1654,3.4212
2013-05-06,4.1673,3.4354
2013-05-07,4.167,3.4261
2013-05-08,4.1689,3.4345
2013-05-09,4.1685,3.4317
2013-05-10,4.1673,3.4212
2013-05-13,4.1676,3.4238
2013-05-14,4.1677,3.4248
2013-05-15,4.1677,3.4218
2013-05-16,4.1677,3.4219
2013-05-17,4.1477,3.4213
2013-05-20,4.1377,3.4253
2013-05-21,4.1277,3.4253
2013-05-22,4.1177,3.4153
2013-05-23,4.1177,3.413
2013-05-24,4.1177,3.4181
2013-05-27,4.1173,3.4166
2013-05-28,4.1173,3.4206
2013-05-29,4.1186,3.434
2013-05-30,4.1186,3.434
2013-05-31,4.1193,3.4399
2013-06-03,4.1203,3.4478
2013-06-04,4.1214,3.4603
2013-06-05,4.1216,3.4615
2013-06-06,4.1221,3.4651
2013-06-07,4.1237,3.4822
2013-06-08,4.1237,3.4822
2013-06-09,4.1209,3.4491
2013-06-13,4.1221,3.4591
2013-06-14,4.1225,3.4689
2013-06-17,4.1237,3.4785
2013-06-18,4.1239,3.4818
2013-06-19,4.1327,3.5516
