date,日期,指数代码,指数中文全称,指数中文简称,指数英文全称,指数英文简称,市盈率1,市盈率2,股息率1,股息率2
2026-07-10,2026-07-10,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.79,17.69,2.65,2.2
2026-07-13,2026-07-13,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.64,17.39,2.68,2.24
2026-07-14,2026-07-14,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.89,17.77,2.63,2.19
2026-07-15,2026-07-15,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.9,17.74,2.63,2.2
2026-07-16,2026-07-16,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.67,17.41,2.67,2.24
2026-07-17,2026-07-17,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.33,16.79,2.74,2.32
2026-07-20,2026-07-20,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.62,17.05,2.68,2.29
2026-07-21,2026-07-21,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.86,17.57,2.64,2.22
2026-07-22,2026-07-22,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.87,17.49,2.64,2.23
2026-07-23,2026-07-23,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.92,17.53,2.63,2.22
2026-07-24,2026-07-24,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.72,17.24,2.67,2.26
2026-07-27,2026-07-27,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.85,17.44,2.64,2.24
2026-07-28,2026-07-28,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.62,16.94,2.68,2.3
2026-07-29,2026-07-29,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.67,17.06,2.68,2.28
2026-07-30,2026-07-30,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.64,16.88,2.68,2.31
2026-07-31,2026-07-31,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.68,17.01,2.53,2.23
2026-08-03,2026-08-03,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.55,16.84,2.55,2.25
2026-08-04,2026-08-04,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.58,17.05,2.55,2.22
2026-08-05,2026-08-05,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.71,17.26,2.53,2.19
2026-08-06,2026-08-06,300,沪深300指数,沪深300,CSI 300 Index,CSI 300,14.73,17.23,2.52,2.2
