date,日期,指数代码,指数中文全称,指数中文简称,指数英文全称,指数英文简称,市盈率1,市盈率2,股息率1,股息率2
2026-07-10,2026-07-10,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.27,9.74,5.08,4.88
2026-07-13,2026-07-13,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.39,9.83,5.01,4.83
2026-07-14,2026-07-14,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.41,9.91,4.99,4.79
2026-07-15,2026-07-15,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.51,10.07,4.94,4.72
2026-07-16,2026-07-16,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.44,10.05,4.98,4.73
2026-07-17,2026-07-17,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.51,10.02,4.94,4.74
2026-07-20,2026-07-20,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.76,10.25,4.8,4.63
2026-07-21,2026-07-21,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.6,10.16,4.88,4.68
2026-07-22,2026-07-22,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.66,10.18,4.85,4.67
2026-07-23,2026-07-23,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.69,10.21,4.83,4.65
2026-07-24,2026-07-24,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.71,10.1,4.82,4.7
2026-07-27,2026-07-27,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.7,10.15,4.83,4.68
2026-07-28,2026-07-28,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.87,10.21,4.73,4.65
2026-07-29,2026-07-29,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.88,10.35,4.73,4.59
2026-07-30,2026-07-30,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,9.09,10.51,4.62,4.52
2026-07-31,2026-07-31,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.95,10.44,4.28,4.36
2026-08-03,2026-08-03,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.97,10.48,4.27,4.35
2026-08-04,2026-08-04,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.72,10.27,4.39,4.44
2026-08-05,2026-08-05,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.6,10.15,4.45,4.49
2026-08-06,2026-08-06,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8.62,10.12,4.44,4.5
