code,name,year,record_date,ex_date,raw_text,dividend_per_share,payment_date
159920,恒生ETF,2018年,2018-06-22,2018-06-22,每份派现金0.0760元,0.076,2018-06-26
510300,沪深300ETF,2026年,2026-01-16,2026-01-19,每份派现金0.1230元,0.123,2026-01-27
510300,沪深300ETF,2025年,2025-06-17,2025-06-18,每份派现金0.0880元,0.088,2025-06-27
510300,沪深300ETF,2024年,2024-01-17,2024-01-18,每份派现金0.0690元,0.069,2024-01-23
510300,沪深300ETF,2023年,2023-01-13,2023-01-16,每份派现金0.0640元,0.064,2023-01-19
510300,沪深300ETF,2022年,2022-01-18,2022-01-19,每份派现金0.0750元,0.075,2022-01-24
510300,沪深300ETF,2021年,2021-01-15,2021-01-18,每份派现金0.0720元,0.072,2021-01-21
510300,沪深300ETF,2019年,2019-12-10,2019-12-11,每份派现金0.0620元,0.062,2019-12-16
510300,沪深300ETF,2019年,2019-01-15,2019-01-16,每份派现金0.0590元,0.059,2019-01-21
510300,沪深300ETF,2018年,2018-01-22,2018-01-23,每份派现金0.0460元,0.046,2018-01-26
510300,沪深300ETF,2017年,2017-01-20,2017-01-23,每份派现金0.0550元,0.055,2017-01-26
510300,沪深300ETF,2016年,2016-01-19,2016-01-20,每份派现金0.0510元,0.051,2016-01-25
510300,沪深300ETF,2015年,2015-01-19,2015-01-20,每份派现金0.0350元,0.035,2015-01-23
510300,沪深300ETF,2014年,2014-01-20,2014-01-21,每份派现金0.0480元,0.048,2014-01-27
510300,沪深300ETF,2012年,2012-12-17,2012-12-18,每份派现金0.0330元,0.033,2012-12-24
510500,中证500ETF,2026年,2026-01-15,2026-01-16,每份派现金0.0620元,0.062,2026-01-21
510500,中证500ETF,2025年,2025-01-15,2025-01-16,每份派现金0.0910元,0.091,2025-01-21
510500,中证500ETF,2024年,2024-05-16,2024-05-17,每份派现金0.0870元,0.087,2024-05-22
510880,红利ETF,2026年,2026-01-20,2026-01-21,每份派现金0.1430元,0.143,2026-01-26
510880,红利ETF,2025年,2025-01-20,2025-01-21,每份派现金0.1420元,0.142,2025-01-24
510880,红利ETF,2024年,2024-01-22,2024-01-23,每份派现金0.1310元,0.131,2024-01-26
510880,红利ETF,2023年,2023-01-13,2023-01-16,每份派现金0.1380元,0.138,2023-01-19
510880,红利ETF,2022年,2022-01-14,2022-01-17,每份派现金0.0860元,0.086,2022-01-20
510880,红利ETF,2021年,2021-01-15,2021-01-18,每份派现金0.1410元,0.141,2021-01-21
510880,红利ETF,2020年,2020-01-16,2020-01-17,每份派现金0.1440元,0.144,2020-01-22
510880,红利ETF,2019年,2019-01-15,2019-01-16,每份派现金0.0980元,0.098,2019-01-21
510880,红利ETF,2018年,2018-01-22,2018-01-23,每份派现金0.1090元,0.109,2018-01-26
510880,红利ETF,2017年,2017-01-20,2017-01-23,每份派现金0.0910元,0.091,2017-01-26
510880,红利ETF,2016年,2016-01-19,2016-01-20,每份派现金0.0500元,0.05,2016-01-25
510880,红利ETF,2015年,2015-01-19,2015-01-20,每份派现金0.0800元,0.08,2015-01-23
510880,红利ETF,2014年,2014-01-20,2014-01-21,每份派现金0.0590元,0.059,2014-01-27
510880,红利ETF,2012年,2012-12-17,2012-12-18,每份派现金0.0410元,0.041,2012-12-24
510880,红利ETF,2011年,2011-10-21,2011-10-24,每份派现金0.0350元,0.035,2011-10-28
510880,红利ETF,2010年,2010-10-21,2010-10-22,每份派现金0.0210元,0.021,2010-10-28
510880,红利ETF,2010年,2010-07-14,2010-07-15,每份派现金0.0200元,0.02,2010-07-21
510880,红利ETF,2009年,2009-10-21,2009-10-22,每份派现金0.0230元,0.023,2009-10-28
510880,红利ETF,2009年,2009-03-23,2009-03-24,每份派现金0.0240元,0.024,2009-03-30
511260,十年国债ETF,2026年,2026-06-25,2026-06-25,每份派现金1.2686元,1.2686,2026-06-26
511260,十年国债ETF,2026年,2026-03-24,2026-03-25,每份派现金0.6711元,0.6711,2026-03-30
511260,十年国债ETF,2025年,2025-12-26,2025-12-26,每份派现金0.8330元,0.833,2025-12-29
511260,十年国债ETF,2025年,2025-09-23,2025-09-23,每份派现金1.3600元,1.36,2025-09-24
