config_stem,variant,avg_div_weight,median_div_weight,max_div_weight,avg_order_target_weight,median_order_target_weight,div_trade_count,div_trade_value_abs,div_order_count,div_rejected_order_count
baseline_r1_domestic_ewma,pure_512890,0.19464910753203168,0.201982887435254,0.2671329533059461,0.20198166503849768,0.2011239607296273,18,791478.2401400001,179,161
baseline_r1_domestic_low_vol_ewma,pure_512890,0.246642368213648,0.2666620049221334,0.3420106067043346,0.255959350453626,0.2612682074117969,17,1104842.9729199999,55,38
baseline_r1_domestic_rolling,pure_512890,0.1376869235385207,0.1156464119503374,0.1943862604335575,0.11849724432534205,0.1156359226577773,8,258805.45074,66,58
baseline_r2_global_dividend_ewma,pure_512890,0.20361936184893514,0.2031176201739042,0.2762106956032899,0.22277744634851387,0.2129660137621597,34,1110505.33094,81,47
baseline_r2_global_ewma,pure_512890,0.14991210034186087,0.1477961046916696,0.2248125457263295,0.14557275557567304,0.1517881444746969,28,898978.9080799998,124,96
baseline_r3_global_nasdaq_all_weather_ewma,pure_512890,0.11741160023614809,0.1177333017926404,0.1667807114859189,0.13206444617611532,0.118328418202155,17,477917.58032,75,58
baseline_us_blend_ewma,pure_512890,0.13465272686496482,0.1397800170533532,0.2060714059360523,0.14453955115460454,0.1483021129723142,17,668843.94354,40,23
demo_r1_domestic_ewma_cov,pure_512890,0.07096749327482507,0.0739617899066162,0.1257940918692432,0.11183555486654102,0.1024957901212453,12,265071.82012000005,120,108
r1_domestic_ewma_10y_bond_3x_vol,pure_512890,0.2723519874608323,0.2657515581469165,0.3813952091135532,0.26545251316071045,0.2771596947850219,14,736476.4578,93,79
r1_domestic_ewma_30y_bond_futures,pure_512890,0.19464910753203168,0.201982887435254,0.2671329533059461,0.20198166503849768,0.2011239607296273,18,791478.2401400001,179,161
r1_domestic_ewma_risk_parity_cvar_dynamic_budget,pure_512890,0.13656801269220642,0.1146637508938517,0.2191965755316781,0.1756940058950975,0.2194639030227458,13,363786.45290000003,125,112
r1_domestic_rolling_10y_bond_3x_vol,pure_512890,0.22125667804119606,0.181104707903499,0.3480099637348356,0.2238827228195151,0.2031235633386706,13,598457.7333000001,34,21
r1_domestic_rolling_30y_bond_futures,pure_512890,0.1376869235385207,0.1156464119503374,0.1943862604335575,0.11849724432534205,0.1156359226577773,8,258805.45074,66,58
r2_global_dividend_ewma_risk_parity_cvar_dynamic_budget,pure_512890,0.16883864119221656,0.2048336744210953,0.2394341893348054,0.17172723558674424,0.203645660761314,13,578671.7269600001,13,0
r2_global_ewma_risk_parity_cvar_dynamic_budget,pure_512890,0.1263845838311256,0.1215388046638207,0.1931307679119957,0.11213841785117692,0.1035166560496209,14,399809.49462,26,12
r3_global_nasdaq_all_weather_ewma_risk_parity_cvar_dynamic_budget,pure_512890,0.10147049485933475,0.0897543048046502,0.153768867658196,0.09539271830670142,0.0868429911674935,11,260253.00420000002,51,40
us_blend_ewma_risk_parity_cvar_dynamic_budget,pure_512890,0.11140582222122467,0.1041447790973554,0.1910885410344187,0.10667771038530484,0.0992874692469662,25,486473.96262,25,0
baseline_r1_domestic_ewma,single_515080,0.19035098797430566,0.194155715878842,0.2823582567935598,0.20582968470940732,0.2097975086242145,16,851750.13464,176,160
baseline_r1_domestic_ewma,single_563020,0.20114666320787158,0.2137655269168119,0.2727349763204517,0.20446421633879328,0.2104296733849228,17,594621.13944,219,202
baseline_r1_domestic_low_vol_ewma,single_515080,0.24283957508614337,0.2528493393495361,0.3522213399032738,0.2701422165967524,0.2814773502998556,18,1414417.95452,56,38
baseline_r1_domestic_low_vol_ewma,single_563020,0.2513102538992893,0.2734937159194384,0.3326703602559996,0.2749997699057101,0.288383362054153,19,1094152.5210799999,138,119
baseline_r1_domestic_rolling,single_515080,0.13901489242000073,0.1205722340577699,0.1977914928556888,0.12809394966776916,0.1196353184118671,8,326194.98751999997,18,10
baseline_r1_domestic_rolling,single_563020,0.14594965690386155,0.1250385643859344,0.2215514374893845,0.1470224785366215,0.1274940369923486,9,353550.356,9,0
baseline_r2_global_dividend_ewma,single_515080,0.20113269520851335,0.2117903590081253,0.2765315529263237,0.20732097606900848,0.2136087624098298,39,1361220.10134,103,64
baseline_r2_global_dividend_ewma,single_563020,0.20913709401306477,0.210818157317071,0.297094523290464,0.2156640420270005,0.21706586409809,37,1125205.7721999998,133,96
baseline_r2_global_ewma,single_515080,0.15005710942756634,0.1534067712807154,0.2368689065851554,0.14510801554429306,0.1475317003981061,34,1061103.13292,101,67
baseline_r2_global_ewma,single_563020,0.1564581625997711,0.1519987803020144,0.2360122707280104,0.16414200569270837,0.1718760251194394,31,869044.9497400001,183,152
baseline_r3_global_nasdaq_all_weather_ewma,single_515080,0.10848548430543771,0.1110716999096028,0.1578433867579821,0.11105136193714654,0.1161917367573612,17,567275.60508,147,130
baseline_r3_global_nasdaq_all_weather_ewma,single_563020,0.1182149551166188,0.1245966273496724,0.1682104327335633,0.1193993056903626,0.1106175785778817,14,459459.60682000004,198,184
baseline_us_blend_ewma,single_515080,0.13109157382413053,0.1295162616565068,0.1937057105565229,0.11701137357385206,0.0973974666742565,18,522648.91751999996,35,17
baseline_us_blend_ewma,single_563020,0.13906873549570534,0.1402714695384489,0.2072230018891564,0.1540183161156888,0.1551366984934901,18,586565.5437400001,119,101
demo_r1_domestic_ewma_cov,single_515080,0.06667065831209187,0.0673269563856251,0.0993069995777933,0.10178220859578416,0.104965807209043,7,191495.64218,65,58
