config_stem,candidate,ann_return_delta,vol_delta,max_drawdown_delta,sharpe_delta,turnover_delta,trade_count_delta,order_count_delta,rejected_order_count_delta,base_ann_return,cand_ann_return,base_sharpe,cand_sharpe,base_max_drawdown,cand_max_drawdown
baseline_r1_domestic_ewma,single_515080,0.00040343319922797605,0.002466887714008159,0.0008930097218830674,-0.07919448851839173,-0.006952040614707444,-5,-55,-50,0.21247094920153642,0.2128743824007644,2.7358810475418616,2.65668655902347,-0.04272702296696307,-0.04183401324508
baseline_r1_domestic_ewma,single_563020,-0.008987167109759914,-0.0010727852575097424,0.0026462663034078696,-0.07902212104274042,-0.028171793697957415,-2,-16,-14,0.21247094920153642,0.2034837820917765,2.7358810475418616,2.656858926499121,-0.04272702296696307,-0.0400807566635552
baseline_r1_domestic_low_vol_ewma,single_515080,0.0010668305467411154,0.001467377390011862,-0.004548097245048829,-0.03971561897063092,0.08513168157657802,4,6,2,0.18860521921769258,0.1896720497644337,2.675035018961895,2.635319399991264,-0.03463607830954407,-0.0391841755545929
baseline_r1_domestic_low_vol_ewma,single_563020,-0.007884954664415772,-0.0003421821705221345,-0.0002775988709825261,-0.09933374909704717,0.024767422755246682,2,62,60,0.18860521921769258,0.1807202645532768,2.675035018961895,2.575701269864848,-0.03463607830954407,-0.0349136771805266
baseline_r1_domestic_rolling,single_515080,-0.0045537711704055905,0.00014104232427566976,-0.003748096558064233,-0.07072673787163541,0.0186693194943493,0,-52,-52,0.189665921813168,0.1851121506427624,2.722229190859348,2.6515024529877125,-0.04836622345705377,-0.052114320015118
baseline_r1_domestic_rolling,single_563020,-0.005727028759644287,0.0006040700831041745,-0.001128715290617227,-0.10489117059309772,0.0200031050329027,5,-68,-73,0.189665921813168,0.1839388930535237,2.722229190859348,2.61733802026625,-0.04836622345705377,-0.049494938747671
baseline_r2_global_dividend_ewma,single_515080,-0.0234425255330864,-0.00011212896851618692,-0.00465313820222947,-0.33041284639222246,0.11691932731445054,11,28,17,0.1884820934137481,0.1650395678806617,2.6868625818463823,2.35644973545416,-0.04418107034416863,-0.0488342085463981
baseline_r2_global_dividend_ewma,single_563020,-0.0120025552112899,-0.0001697759519370956,-0.002471329490927876,-0.16499620532148196,0.017426142989538596,-5,-25,-20,0.1884820934137481,0.1764795382024582,2.6868625818463823,2.5218663765249003,-0.04418107034416863,-0.0466523998350965
baseline_r2_global_ewma,single_515080,-0.010514098313961356,0.0005889157709540321,-0.005322963052524256,-0.16731599518277562,0.1081056398074165,28,40,12,0.19516941175528846,0.1846553134413271,2.7176206092090633,2.5503046140262877,-0.047288747968860845,-0.0526117110213851
baseline_r2_global_ewma,single_563020,-0.007668633378214551,-0.0004436007316980656,-0.002811395388687757,-0.09055418192007281,0.020287835982389257,10,17,7,0.19516941175528846,0.1875007783770739,2.7176206092090633,2.6270664272889905,-0.047288747968860845,-0.0501001433575486
baseline_r3_global_nasdaq_all_weather_ewma,single_515080,0.019126993086477917,0.004019047482348603,-0.0010568000269805394,0.13450031841368348,0.11176836182846694,6,-89,-95,0.15976573125934568,0.1788927243458236,2.307476072706365,2.4419763911200483,-0.05515268726157996,-0.0562094872885605
baseline_r3_global_nasdaq_all_weather_ewma,single_563020,0.01490820977351262,0.0015989648369615916,0.00022183299156695868,0.15837195243121727,0.0404924571611045,-5,-79,-74,0.15976573125934568,0.1746739410328583,2.307476072706365,2.465848025137582,-0.05515268726157996,-0.054930854270013
baseline_us_blend_ewma,single_515080,-0.019182574727252544,-0.00135264540304679,-0.0005613222057215331,-0.2019646772378727,-0.07630567695754342,3,4,1,0.21582664577394794,0.1966440710466954,2.776325561358636,2.5743608841207632,-0.05670450738519617,-0.0572658295909177
baseline_us_blend_ewma,single_563020,-0.006620580743237348,-0.0009089946802370852,0.001419441842309771,-0.05332495311466179,-0.010766289302667431,-1,6,7,0.21582664577394794,0.2092060650307106,2.776325561358636,2.723000608243974,-0.05670450738519617,-0.0552850655428864
demo_r1_domestic_ewma_cov,single_515080,-0.0029623643013758916,0.0010943908216573678,-0.006432166096893566,-0.15160802409422658,-0.013160396282527631,-9,-59,-50,0.0985442056927115,0.0955818413913356,2.6318290939523363,2.4802210698581098,-0.024551729496619434,-0.030983895593513
demo_r1_domestic_ewma_cov,single_563020,-0.0024206115045410925,0.000838549182997167,-0.006316732163505867,-0.12088070762485392,-0.02095080786688086,-7,-59,-52,0.0985442056927115,0.0961235941881704,2.6318290939523363,2.5109483863274824,-0.024551729496619434,-0.0308684616601253
r1_domestic_ewma_10y_bond_3x_vol,single_515080,-0.007911062287179194,0.0041932209342440685,-0.00907559062233354,-0.1647508780690652,0.09822668441005655,3,-10,-13,0.232255508076749,0.2243444457895698,2.2801573590202984,2.115406480951233,-0.06453435803483976,-0.0736099486571733
r1_domestic_ewma_10y_bond_3x_vol,single_563020,-0.01300013885194809,-0.0009236796244209283,-0.0059203511702039385,-0.10793009319368796,0.02079046570038534,1,31,30,0.232255508076749,0.2192553692248009,2.2801573590202984,2.1722272658266104,-0.06453435803483976,-0.0704547092050437
r1_domestic_ewma_30y_bond_futures,single_515080,0.00040343319922797605,0.002466887714008159,0.0008930097218830674,-0.07919448851839173,-0.006952040614707444,-5,-55,-50,0.21247094920153642,0.2128743824007644,2.7358810475418616,2.65668655902347,-0.04272702296696307,-0.04183401324508
r1_domestic_ewma_30y_bond_futures,single_563020,-0.008987167109759914,-0.0010727852575097424,0.0026462663034078696,-0.07902212104274042,-0.028171793697957415,-2,-16,-14,0.21247094920153642,0.2034837820917765,2.7358810475418616,2.656858926499121,-0.04272702296696307,-0.0400807566635552
r1_domestic_ewma_risk_parity_cvar_dynamic_budget,single_515080,-0.005249083792828291,-3.31622483304983e-05,0.0008751436196428042,-0.07219723268619394,0.057848012505520297,5,-69,-74,0.21263366575452158,0.2073845819616933,2.979337493118129,2.907140260431935,-0.0317057699081531,-0.0308306262885103
r1_domestic_ewma_risk_parity_cvar_dynamic_budget,single_563020,-0.00800270545507109,-0.0005708272669947972,-0.0001448254796464002,-0.0890132958300347,0.0228285257012667,3,-8,-11,0.21263366575452158,0.2046309602994505,2.979337493118129,2.8903241972880944,-0.0317057699081531,-0.0318505953877995
r1_domestic_rolling_10y_bond_3x_vol,single_515080,-0.005998268477306834,0.0011950030732425232,0.004108397041624412,-0.0877071308585351,0.007843997275923553,-1,6,7,0.23038722515155863,0.2243889566742518,2.3288912465632534,2.2411841157047183,-0.06326356787222831,-0.0591551708306039
r1_domestic_rolling_10y_bond_3x_vol,single_563020,-0.008050467740922634,-0.00013433063585317762,-0.0031609491258360878,-0.07832288786883446,0.013271852448523136,4,85,81,0.23038722515155863,0.222336757410636,2.3288912465632534,2.250568358694419,-0.06326356787222831,-0.0664245169980644
r1_domestic_rolling_30y_bond_futures,single_515080,-0.0045537711704055905,0.00014104232427566976,-0.003748096558064233,-0.07072673787163541,0.0186693194943493,0,-52,-52,0.189665921813168,0.1851121506427624,2.722229190859348,2.6515024529877125,-0.04836622345705377,-0.052114320015118
r1_domestic_rolling_30y_bond_futures,single_563020,-0.005727028759644287,0.0006040700831041745,-0.001128715290617227,-0.10489117059309772,0.0200031050329027,5,-68,-73,0.189665921813168,0.1839388930535237,2.722229190859348,2.61733802026625,-0.04836622345705377,-0.049494938747671
r2_global_dividend_ewma_risk_parity_cvar_dynamic_budget,single_515080,0.0001367201785709149,-0.0006896123713699825,0.003829334459165168,0.03042995173393237,0.10398962540777812,21,-18,-39,0.17560362659862228,0.1757403467771932,2.671655595088715,2.7020855468226475,-0.04572926229950347,-0.0418999278403383
r2_global_dividend_ewma_risk_parity_cvar_dynamic_budget,single_563020,-0.007123888713212179,-0.0001886709173398865,0.0028353202762935736,-0.10100477814784048,0.013973912197319582,2,-70,-72,0.17560362659862228,0.1684797378854101,2.671655595088715,2.5706508169408746,-0.04572926229950347,-0.0428939420232099
r2_global_ewma_risk_parity_cvar_dynamic_budget,single_515080,-0.0031472506079552875,0.000785954757295565,0.0006284847802567189,-0.07611195550855543,0.024479688008358202,-1,5,6,0.2074701614493233,0.204322910841368,2.929668087489828,2.853556131981273,-0.040674676200012416,-0.0400461914197557
r2_global_ewma_risk_parity_cvar_dynamic_budget,single_563020,-0.0037939536835018828,-0.00041546098125203046,0.002354821188908819,-0.0366013688602842,-0.021142130930718372,-6,47,53,0.2074701614493233,0.2036762077658214,2.929668087489828,2.893066718629544,-0.040674676200012416,-0.0383198550111036
r3_global_nasdaq_all_weather_ewma_risk_parity_cvar_dynamic_budget,single_515080,0.00518386112572794,0.002410034133410302,0.00023251080475491376,-0.013305806547346588,0.05363878838674263,0,-82,-82,0.16787273210449816,0.1730565932302261,2.5305148798059145,2.517209073258568,-0.04687600278737292,-0.046643491982618
r3_global_nasdaq_all_weather_ewma_risk_parity_cvar_dynamic_budget,single_563020,-0.003636750653057963,5.169317574539589e-05,-0.001553873232218582,-0.05674802471743412,0.008284851469321897,3,-123,-126,0.16787273210449816,0.1642359814514402,2.5305148798059145,2.4737668550884804,-0.04687600278737292,-0.0484298760195915
us_blend_ewma_risk_parity_cvar_dynamic_budget,single_515080,0.0010321361380529193,0.0002852830489961933,0.0010844905568271473,0.003682947268606629,0.049332315534724724,14,99,85,0.18445496672280948,0.1854871028608624,2.747569282110826,2.751252229379433,-0.046396166263562244,-0.0453116757067351
us_blend_ewma_risk_parity_cvar_dynamic_budget,single_563020,-0.003818847955821686,-0.0002461400752786086,0.0001848763148600413,-0.046982621736299635,0.01826778101135995,7,39,32,0.18445496672280948,0.1806361187669878,2.747569282110826,2.7005866603745265,-0.046396166263562244,-0.0462112899487022
