config_stem,entry_start,variant,total_return_ratio_pct,total_return_delta,base_total_return,candidate_total_return,annualized_return_ratio_pct,annualized_return_delta,base_annualized_return,candidate_annualized_return,annualized_volatility_ratio_pct,annualized_volatility_delta,base_annualized_volatility,candidate_annualized_volatility,max_drawdown_abs_ratio_pct,max_drawdown_abs_delta,base_max_drawdown_abs,candidate_max_drawdown_abs,sharpe_ratio_ratio_pct,sharpe_ratio_delta,base_sharpe_ratio,candidate_sharpe_ratio,turnover_amount_ratio_ratio_pct,turnover_amount_ratio_delta,base_turnover_amount_ratio,candidate_turnover_amount_ratio,annualized_turnover_amount_ratio_pct,annualized_turnover_amount_delta,base_annualized_turnover_amount,candidate_annualized_turnover_amount,trade_count_ratio_pct,trade_count_delta,base_trade_count,candidate_trade_count,order_count_ratio_pct,order_count_delta,base_order_count,candidate_order_count,rejected_order_count_ratio_pct,rejected_order_count_delta,base_rejected_order_count,candidate_rejected_order_count,skipped_order_count_ratio_pct,skipped_order_count_delta,base_skipped_order_count,candidate_skipped_order_count,skipped_below_lot_or_cash_count_ratio_pct,skipped_below_lot_or_cash_count_delta,base_skipped_below_lot_or_cash_count,candidate_skipped_below_lot_or_cash_count,max_pending_intent_count_ratio_pct,max_pending_intent_count_delta,base_max_pending_intent_count,candidate_max_pending_intent_count,average_cash_weight_ratio_pct,average_cash_weight_delta,base_average_cash_weight,candidate_average_cash_weight
baseline_r1_domestic_ewma,2023-12-14,single_515080,99.48065745097506,-0.003044966599500043,0.5863117907856621,0.583266824186162,99.54212225753609,-0.0009791481236789412,0.21384488322363082,0.21286573509995188,103.9504201955405,0.003045849137262427,0.07710190274697318,0.0801477518842356,108.86273348028148,0.003424865988469472,0.03864345008331105,0.04206831607178052,95.75923028525331,-0.11761926387269561,2.7735357443176176,2.655916480444922,98.48330414839015,-0.027846439488890207,1.835993647594772,1.8081472081058818,98.48330414839016,-0.01169550458533386,0.7711173319898043,0.7594218274044704,84.84848484848484,-10.0,66,56,85.07462686567165,-10.0,67,57,100.0,0.0,1,1,60.0,-4.0,10,6,60.0,-4.0,10,6,100.0,0.0,4,4,96.85676966262236,-0.0018406746374119917,0.058559966653530096,0.056719292016118104
baseline_r1_domestic_ewma,2023-12-14,single_563020,94.51529072275436,-0.03215749718280625,0.5863117907856621,0.5541542936028558,95.13838640437731,-0.010396311916343492,0.21384488322363082,0.20344857130728733,99.33645347813292,-0.0005116069939708756,0.07710190274697318,0.0765902957530023,103.90853240463167,0.0015103917687738777,0.03864345008331105,0.040153841852084926,95.77389072514076,-0.1172126513321432,2.7735357443176176,2.6563230929854744,95.70592741629315,-0.0788388998599665,1.835993647594772,1.7571547477348055,95.70592741629315,-0.033112337941185954,0.7711173319898043,0.7380049940486183,90.9090909090909,-6.0,66,60,91.04477611940298,-6.0,67,61,100.0,0.0,1,1,70.0,-3.0,10,7,70.0,-3.0,10,7,100.0,0.0,4,4,95.0646832206202,-0.002890119860250888,0.058559966653530096,0.05566984679327921
baseline_r1_domestic_ewma,2024-02-14,single_515080,99.3055760529102,-0.0033409096031931096,0.4811051832521309,0.4777642736489378,99.37308847275126,-0.0012120614044508482,0.19333850978464207,0.19212644838019122,104.42478512861825,0.0034937138072439478,0.07895781841806511,0.08245153222530906,110.97695618927625,0.004163657800271059,0.0379308956734169,0.04209455347368796,95.16235858216523,-0.11845595551341193,2.4486303403287457,2.330174384815334,106.46811128210115,0.10534097415630295,1.6286203122047005,1.7339612863610034,106.46811128210115,0.04740343837033634,0.7328791404921152,0.7802825788624516,86.20689655172413,-8.0,58,50,86.4406779661017,-8.0,59,51,100.0,0.0,1,1,133.33333333333331,1.0,3,4,133.33333333333331,1.0,3,4,100.0,0.0,4,4,102.98935195810057,0.0017965942312085093,0.060099789398838754,0.061896383630047264
baseline_r1_domestic_ewma,2024-02-14,single_563020,93.33917265950555,-0.03204558558259385,0.4811051832521309,0.44905959766953707,93.9543136377375,-0.011688639919051669,0.19333850978464207,0.1816498698655904,98.35406054004436,-0.0012995978900630645,0.07895781841806511,0.07765822052800204,106.28463777246013,0.002383819396924003,0.0379308956734169,0.0403147150703409,95.52662403753475,-0.10953644105389726,2.4486303403287457,2.3390938992748485,98.9863507991291,-0.016508496779884085,1.6286203122047005,1.6121118154248164,98.9863507991291,-0.007428823550947872,0.7328791404921152,0.7254503169411674,100.0,0.0,58,58,100.0,0.0,59,59,100.0,0.0,1,1,233.33333333333334,4.0,3,7,233.33333333333334,4.0,3,7,100.0,0.0,4,4,103.52777446863213,0.0021201850261139132,0.060099789398838754,0.06221997442495267
baseline_r1_domestic_ewma,2024-04-14,single_515080,98.25687190783972,-0.0077381494993011835,0.44392317088477684,0.43618502138547566,98.40580510463046,-0.003093481272973264,0.19404661763492803,0.19095313636195477,104.30770324538965,0.003430839001166544,0.0796442745873554,0.08307511358852195,110.54546457129344,0.004013744509212325,0.03806133416007507,0.04207507866928739,94.34183865895825,-0.1378563714655483,2.4364164108506494,2.298560039385101,103.45559348284625,0.05480421873466379,1.5859567685468419,1.6407609872815057,103.45559348284625,0.026457209044320362,0.765634302057096,0.7920915111014164,92.85714285714286,-4.0,56,52,92.98245614035088,-4.0,57,53,100.0,0.0,1,1,125.0,1.0,4,5,125.0,1.0,4,5,100.0,0.0,4,4,104.52215875105884,0.002888005006377717,0.06386341491663709,0.06675141992301481
baseline_r1_domestic_ewma,2024-04-14,single_563020,91.30791568655425,-0.03858617630022665,0.44392317088477684,0.4053369945845502,92.00598365681043,-0.015512118327142721,0.19404661763492803,0.1785344993077853,99.7469640293395,-0.00020152866327763364,0.0796442745873554,0.07944274592407777,105.73418377995867,0.0021825068498428912,0.03806133416007507,0.04024384100991796,92.23938247358372,-0.18908095899695798,2.4364164108506494,2.2473354518536914,104.39336767833657,0.06967691206172821,1.5859567685468419,1.65563368060857,104.39336767833657,0.03363712996083423,0.765634302057096,0.7992714320179303,103.57142857142858,2.0,56,58,103.50877192982458,2.0,57,59,100.0,0.0,1,1,150.0,2.0,4,6,150.0,2.0,4,6,100.0,0.0,4,4,106.85381705542818,0.004377081623735332,0.06386341491663709,0.06824049654037243
baseline_r1_domestic_ewma,2024-06-14,single_515080,100.12348987922614,0.0005528733665938201,0.4477074316198746,0.4482603049864684,100.11351478815685,0.00024225134312660934,0.21340950114086565,0.21365175248399226,104.09069904337443,0.0032995083921898427,0.08065879100868954,0.08395829940087939,111.1016786275794,0.004219236345855859,0.03800539078274345,0.04222462712859931,96.1791165860455,-0.1010941043241762,2.64583064625745,2.5447365419332737,104.00169053095387,0.06360311669935736,1.589406182396534,1.6530092990958913,104.00169053095387,0.033253081759829994,0.8309758463981879,0.8642289281580179,89.28571428571429,-6.0,56,50,89.47368421052632,-6.0,57,51,100.0,0.0,1,1,100.0,0.0,4,4,100.0,0.0,4,4,100.0,0.0,4,4,103.4462917938485,0.002408499416713533,0.06988669447585995,0.07229519389257348
baseline_r1_domestic_ewma,2024-06-14,single_563020,93.42207699727354,-0.02944985012943957,0.4477074316198746,0.418257581490435,93.92322092585822,-0.01296842390755848,0.21340950114086565,0.20044107723330717,97.84716078573106,-0.001736454082590294,0.08065879100868954,0.07892233692609925,112.22832350476008,0.004647422134162138,0.03800539078274345,0.04265281291690559,95.9897253754091,-0.10610507501651201,2.64583064625745,2.539725571240938,106.33003559729461,0.10060997713130204,1.589406182396534,1.690016159527836,106.33003559729461,0.05260106688192545,0.8309758463981879,0.8835769132801133,110.71428571428572,6.0,56,62,110.5263157894737,6.0,57,63,100.0,0.0,1,1,175.0,3.0,4,7,175.0,3.0,4,7,100.0,0.0,4,4,103.00909305222403,0.00210295566790214,0.06988669447585995,0.07198965014376209
baseline_r1_domestic_ewma,2024-08-14,single_515080,104.16093648395189,0.01287283136095696,0.30937341655191175,0.3222462479128687,103.92855786067443,0.006574135957720717,0.1673422205010393,0.17391635645876002,102.5347626477672,0.0018584221795981265,0.07331740434297303,0.07517582652257115,110.57740757421391,0.00402675663769525,0.03806940981939533,0.04209616645709058,101.35933919084135,0.031026035447922595,2.2824351462065624,2.313461181654485,110.00606279937568,0.13368768237178696,1.3360667932258847,1.4697544755976717,110.00606279937568,0.07674099306990956,0.7669449473642892,0.8436859404341988,100.0,0.0,51,51,100.0,0.0,52,52,100.0,0.0,1,1,200.0,2.0,2,4,200.0,2.0,2,4,100.0,0.0,4,4,107.56694277600884,0.005773668729682241,0.07630120777426501,0.08207487650394725
baseline_r1_domestic_ewma,2024-08-14,single_563020,94.15463707269133,-0.01808399899807367,0.30937341655191175,0.2912894175538381,94.45318472428693,-0.009282163849469116,0.1673422205010393,0.1580600566515702,99.77190418483947,-0.00016723393109065177,0.07331740434297303,0.07315017041188238,112.05519587007883,0.00458934192031113,0.03806940981939533,0.04265875173970646,94.66912102760014,-0.1216738552677894,2.2824351462065624,2.160761290938773,109.38363877789689,0.1253716817077477,1.3360667932258847,1.4614384749336324,109.38363877789689,0.07196734348599643,0.7669449473642892,0.8389122908502856,115.68627450980394,8.0,51,59,115.38461538461537,8.0,52,60,100.0,0.0,1,1,300.0,4.0,2,6,300.0,4.0,2,6,100.0,0.0,4,4,101.31431827423538,0.001002840717239481,0.07630120777426501,0.07730404849150449
baseline_r1_domestic_ewma,2024-10-14,single_515080,97.50758154352246,-0.006778485831785863,0.2719641966287514,0.2651857107969655,97.6115296107648,-0.0038771888009052624,0.16232936436556633,0.15845217556466107,104.1527968054365,0.002736308699375134,0.0658907436981501,0.06862705239752523,110.52880188992789,0.004000830313706238,0.03799891341419892,0.04199974372790516,93.7195472466369,-0.1547261187476967,2.4636140868163214,2.3088879680686247,108.18456252750393,0.09679545216902907,1.1826588390491435,1.2794542912181726,108.18456252750393,0.060527181008921405,0.7395286040704321,0.8000557850793535,100.0,0.0,40,40,100.0,0.0,41,41,100.0,0.0,1,1,60.0,-2.0,5,3,60.0,-2.0,5,3,100.0,0.0,4,4,100.16437712431316,0.0001415285786490611,0.08609992372139852,0.08624145230004758
baseline_r1_domestic_ewma,2024-10-14,single_563020,94.28609514504696,-0.015539775434904257,0.2719641966287514,0.2564244211938471,94.5172815199165,-0.008900062058672997,0.16232936436556633,0.15342930230689333,99.85521619311972,-9.539912710791743e-05,0.0658907436981501,0.06579534457104218,105.89898005238028,0.0022415483224248467,0.03799891341419892,0.04024046173662377,94.65432565597808,-0.13169678617465008,2.4636140868163214,2.3319173006416714,102.57825025418354,0.03049190452390871,1.1826588390491435,1.2131507435730522,102.57825025418354,0.01906689811420592,0.7395286040704321,0.758595502184638,100.0,0.0,40,40,100.0,0.0,41,41,100.0,0.0,1,1,80.0,-1.0,5,4,80.0,-1.0,5,4,100.0,0.0,4,4,95.6295145487898,-0.003762984639746808,0.08609992372139852,0.08233693908165171
baseline_r1_domestic_ewma,2024-12-14,single_515080,98.6066566353914,-0.0025519521123429367,0.18315313921631926,0.18060118710397632,98.63967790539992,-0.0017096301461032581,0.12567833404234174,0.12396870389623849,104.77734965794153,0.0033118291237738684,0.06932356559391716,0.07263539471769102,107.08532903791237,0.0027891036209809483,0.03936448972315809,0.04215359334413904,94.1421769374977,-0.10619786176646073,1.8129236856993038,1.7067258239328431,94.13951469565536,-0.0673240294094466,1.148779084208886,1.0814550547994395,94.13951469565536,-0.047390098913912104,0.8086377911191042,0.7612476922051921,71.42857142857143,-12.0,42,30,72.09302325581395,-12.0,43,31,100.0,0.0,1,1,25.0,-3.0,4,1,25.0,-3.0,4,1,100.0,0.0,4,4,99.80681788224734,-0.00018686784078715546,0.09673143816883695,0.09654457032804979
baseline_r1_domestic_ewma,2024-12-14,single_563020,90.74900465553625,-0.01694348838214088,0.18315313921631926,0.16620965083417838,90.95187115340585,-0.01137153759640408,0.12567833404234174,0.11430679644593766,98.90062923385882,-0.0007621230141862251,0.06932356559391716,0.06856144257973093,102.49728860229739,0.0009830449152089527,0.03936448972315809,0.040347534638367044,91.962884218201,-0.14570677565531076,1.8129236856993038,1.667216910043993,88.96328598222416,-0.12678746222015902,1.148779084208886,1.021991621988727,88.96328598222416,-0.08924704044547505,0.8086377911191042,0.7193907506736291,83.33333333333334,-7.0,42,35,83.72093023255815,-7.0,43,36,100.0,0.0,1,1,50.0,-2.0,4,2,50.0,-2.0,4,2,100.0,0.0,4,4,103.85799037794202,0.0037318895769986593,0.09673143816883695,0.1004633277458356
baseline_r1_domestic_ewma,2025-02-14,single_515080,99.03482823465805,-0.00145419382237022,0.1506668423785693,0.1492126485561991,99.048848529099,-0.0011078360754377403,0.11647314958030064,0.1153653135048629,104.68484032217478,0.003352682601791862,0.07156450105508583,0.07491718365687769,110.38384262182552,0.003954795892997076,0.03808605385336439,0.042040849746361464,94.6162292689843,-0.08762231615042793,1.6275268864188261,1.5399045702683982,103.5911494532086,0.03644786400864386,1.0149358717465395,1.0513837357551834,103.5911494532086,0.02861327641800071,0.7967720862309283,0.825385362648929,100.0,0.0,30,30,100.0,0.0,31,31,100.0,0.0,1,1,200.0,1.0,1,2,200.0,1.0,1,2,100.0,0.0,4,4,106.06452557858807,0.00645670152529465,0.10646672095985925,0.1129234224851539
baseline_r1_domestic_ewma,2025-02-14,single_563020,92.8190606994408,-0.010819294497274257,0.1506668423785693,0.13984754788129505,92.91715636451532,-0.008249611062096873,0.11647314958030064,0.10822353851820377,99.34400879667848,-0.0004694568316223058,0.07156450105508583,0.07109504422346352,111.52283095323033,0.004388591602279446,0.03808605385336439,0.042474645455643834,93.53070959184203,-0.10528944075328539,1.6275268864188261,1.5222374456655408,105.92097895657898,0.06009413938888386,1.0149358717465395,1.0750300111354234,105.92097895657895,0.04717670755762837,0.7967720862309283,0.8439487937885567,133.33333333333331,10.0,30,40,132.25806451612902,10.0,31,41,100.0,0.0,1,1,200.0,1.0,1,2,200.0,1.0,1,2,100.0,0.0,4,4,100.58642372688804,0.0006243461129482875,0.10646672095985925,0.10709106707280754
baseline_r1_domestic_ewma,2025-04-14,single_515080,108.38081003202853,0.010608818768583106,0.12658464668737168,0.1371934654559548,108.32635389637882,0.009393095127491868,0.11281162492477037,0.12220472005226224,105.51760210131225,0.003452945834181251,0.06258055167406941,0.06603349750825066,104.73320838091296,0.0018835592006071211,0.03979455475069993,0.04167811395130705,102.66187985618717,0.04798471472334698,1.8026626788513032,1.8506473935746501,88.67685948973151,-0.12635180614552655,1.1158724563290838,0.9895206501835573,88.67685948973151,-0.11331194003086364,1.0007112419748367,0.8873993019439731,64.1025641025641,-14.0,39,25,65.0,-14.0,40,26,100.0,0.0,1,1,33.33333333333333,-2.0,3,1,33.33333333333333,-2.0,3,1,100.0,0.0,4,4,97.54954935330822,-0.00308367914516261,0.12584130797842114,0.12275762883325853
baseline_r1_domestic_ewma,2025-04-14,single_563020,92.73172327853156,-0.009200522408131295,0.12658464668737168,0.11738412427924039,92.7723983124834,-0.008153574906777594,0.11281162492477037,0.10465805001799278,101.03401019712098,0.0006470892857244337,0.06258055167406941,0.06322764095979384,106.25879254119724,0.0024906586245394546,0.03979455475069993,0.04228521337523938,91.82293975214995,-0.14740481331517885,1.8026626788513032,1.6552578655361243,96.40202070549113,-0.040148859931848024,1.1158724563290838,1.0757235963972358,96.40202070549113,-0.03600538328407721,1.0007112419748367,0.9647058586907595,102.56410256410255,1.0,39,40,102.49999999999999,1.0,40,41,100.0,0.0,1,1,100.0,0.0,3,3,100.0,0.0,3,3,100.0,0.0,4,4,97.52474467625618,-0.003114893675204733,0.12584130797842114,0.1227264143032164
