results_dir,nav_csv,positions_csv,orders_csv,skipped_orders_csv,trades_csv,oos_metrics_available,start_date,end_date,observations,total_return,annualized_return,annualized_volatility,max_drawdown,sharpe_ratio,turnover_total,annualized_turnover,turnover_amount_total,turnover_amount_ratio,annualized_turnover_amount,turnover_quantity_total,annualized_turnover_quantity,trade_count,order_count,skipped_order_count,skipped_below_lot_or_cash_count,filled_order_count,rejected_order_count,order_status_counts,rejection_reason_counts,skipped_reason_counts,pending_intent_count,max_pending_intent_count,average_cash_weight,max_position_count,max_drawdown_abs,config_file,config_stem,variant,entry_start,configured_end,raw_output_dir,strategy_names
results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2023-12-14\pure_512890\baseline_r1_domestic_ewma_pure_512890_2023-12-14_ratio_20260624_223143_554301,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2023-12-14\pure_512890\baseline_r1_domestic_ewma_pure_512890_2023-12-14_ratio_20260624_223143_554301\nav.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2023-12-14\pure_512890\baseline_r1_domestic_ewma_pure_512890_2023-12-14_ratio_20260624_223143_554301\positions.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2023-12-14\pure_512890\baseline_r1_domestic_ewma_pure_512890_2023-12-14_ratio_20260624_223143_554301\orders.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2023-12-14\pure_512890\baseline_r1_domestic_ewma_pure_512890_2023-12-14_ratio_20260624_223143_554301\skipped_orders.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2023-12-14\pure_512890\baseline_r1_domestic_ewma_pure_512890_2023-12-14_ratio_20260624_223143_554301\trades.csv,False,2023-12-14,2026-06-10,600,0.5863117907856621,0.21384488322363082,0.07710190274697318,-0.03864345008331105,2.7735357443176176,4887837.271465341,0.7711173319898043,4887837.271465341,1.835993647594772,0.7711173319898043,1227300.0,257733.0,66,67,10,10,66,1,"{'FILLED': 66, 'REJECTED': 1}",{'limit_down': 1},{'below_lot_or_cash': 10},0,4,0.058559966653530096,4,0.03864345008331105,configs\baseline_r1_domestic_ewma.yaml,baseline_r1_domestic_ewma,pure_512890,2023-12-14,2026-06-10,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2023-12-14\pure_512890\baseline_r1_domestic_ewma_pure_512890_2023-12-14_ratio_20260624_223143_554301,risk_parity_ewma
results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2023-12-14\single_515080\baseline_r1_domestic_ewma_single_515080_2023-12-14_ratio_20260624_223143_903329,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2023-12-14\single_515080\baseline_r1_domestic_ewma_single_515080_2023-12-14_ratio_20260624_223143_903329\nav.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2023-12-14\single_515080\baseline_r1_domestic_ewma_single_515080_2023-12-14_ratio_20260624_223143_903329\positions.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2023-12-14\single_515080\baseline_r1_domestic_ewma_single_515080_2023-12-14_ratio_20260624_223143_903329\orders.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2023-12-14\single_515080\baseline_r1_domestic_ewma_single_515080_2023-12-14_ratio_20260624_223143_903329\skipped_orders.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2023-12-14\single_515080\baseline_r1_domestic_ewma_single_515080_2023-12-14_ratio_20260624_223143_903329\trades.csv,False,2023-12-14,2026-06-10,600,0.583266824186162,0.21286573509995188,0.0801477518842356,-0.04206831607178052,2.655916480444922,4787304.82118342,0.7594218274044704,4787304.82118342,1.8081472081058818,0.7594218274044704,1064800.0,223608.0,56,57,6,6,56,1,"{'FILLED': 56, 'REJECTED': 1}",{'limit_down': 1},{'below_lot_or_cash': 6},0,4,0.056719292016118104,4,0.04206831607178052,configs\baseline_r1_domestic_ewma.yaml,baseline_r1_domestic_ewma,single_515080,2023-12-14,2026-06-10,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2023-12-14\single_515080\baseline_r1_domestic_ewma_single_515080_2023-12-14_ratio_20260624_223143_903329,risk_parity_ewma
results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2023-12-14\single_563020\baseline_r1_domestic_ewma_single_563020_2023-12-14_ratio_20260624_223144_286713,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2023-12-14\single_563020\baseline_r1_domestic_ewma_single_563020_2023-12-14_ratio_20260624_223144_286713\nav.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2023-12-14\single_563020\baseline_r1_domestic_ewma_single_563020_2023-12-14_ratio_20260624_223144_286713\positions.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2023-12-14\single_563020\baseline_r1_domestic_ewma_single_563020_2023-12-14_ratio_20260624_223144_286713\orders.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2023-12-14\single_563020\baseline_r1_domestic_ewma_single_563020_2023-12-14_ratio_20260624_223144_286713\skipped_orders.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2023-12-14\single_563020\baseline_r1_domestic_ewma_single_563020_2023-12-14_ratio_20260624_223144_286713\trades.csv,False,2023-12-14,2026-06-10,600,0.5541542936028558,0.20344857130728733,0.0765902957530023,-0.040153841852084926,2.6563230929854744,4632459.66930098,0.7380049940486183,4632459.66930098,1.7571547477348055,0.7380049940486183,1045700.0,219597.0,60,61,7,7,60,1,"{'FILLED': 60, 'REJECTED': 1}",{'limit_down': 1},{'below_lot_or_cash': 7},0,4,0.05566984679327921,4,0.040153841852084926,configs\baseline_r1_domestic_ewma.yaml,baseline_r1_domestic_ewma,single_563020,2023-12-14,2026-06-10,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2023-12-14\single_563020\baseline_r1_domestic_ewma_single_563020_2023-12-14_ratio_20260624_223144_286713,risk_parity_ewma
results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-02-14\pure_512890\baseline_r1_domestic_ewma_pure_512890_2024-02-14_ratio_20260624_223144_638791,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-02-14\pure_512890\baseline_r1_domestic_ewma_pure_512890_2024-02-14_ratio_20260624_223144_638791\nav.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-02-14\pure_512890\baseline_r1_domestic_ewma_pure_512890_2024-02-14_ratio_20260624_223144_638791\positions.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-02-14\pure_512890\baseline_r1_domestic_ewma_pure_512890_2024-02-14_ratio_20260624_223144_638791\orders.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-02-14\pure_512890\baseline_r1_domestic_ewma_pure_512890_2024-02-14_ratio_20260624_223144_638791\skipped_orders.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-02-14\pure_512890\baseline_r1_domestic_ewma_pure_512890_2024-02-14_ratio_20260624_223144_638791\trades.csv,False,2024-02-19,2026-06-10,560,0.4811051832521309,0.19333850978464207,0.07895781841806511,-0.0379308956734169,2.4486303403287457,4123157.5551338983,0.7328791404921152,4123157.5551338983,1.6286203122047005,0.7328791404921152,968200.0,217845.0,58,59,3,3,58,1,"{'FILLED': 58, 'REJECTED': 1}",{'limit_down': 1},{'below_lot_or_cash': 3},0,4,0.060099789398838754,4,0.0379308956734169,configs\baseline_r1_domestic_ewma.yaml,baseline_r1_domestic_ewma,pure_512890,2024-02-14,2026-06-10,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-02-14\pure_512890\baseline_r1_domestic_ewma_pure_512890_2024-02-14_ratio_20260624_223144_638791,risk_parity_ewma
results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-02-14\single_515080\baseline_r1_domestic_ewma_single_515080_2024-02-14_ratio_20260624_223144_994443,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-02-14\single_515080\baseline_r1_domestic_ewma_single_515080_2024-02-14_ratio_20260624_223144_994443\nav.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-02-14\single_515080\baseline_r1_domestic_ewma_single_515080_2024-02-14_ratio_20260624_223144_994443\positions.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-02-14\single_515080\baseline_r1_domestic_ewma_single_515080_2024-02-14_ratio_20260624_223144_994443\orders.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-02-14\single_515080\baseline_r1_domestic_ewma_single_515080_2024-02-14_ratio_20260624_223144_994443\skipped_orders.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-02-14\single_515080\baseline_r1_domestic_ewma_single_515080_2024-02-14_ratio_20260624_223144_994443\trades.csv,False,2024-02-19,2026-06-10,560,0.4777642736489378,0.19212644838019122,0.08245153222530906,-0.04209455347368796,2.330174384815334,4365680.815447638,0.7802825788624516,4365680.815447638,1.7339612863610034,0.7802825788624516,961500.0,216337.5,50,51,4,4,50,1,"{'FILLED': 50, 'REJECTED': 1}",{'limit_down': 1},{'below_lot_or_cash': 4},0,4,0.061896383630047264,4,0.04209455347368796,configs\baseline_r1_domestic_ewma.yaml,baseline_r1_domestic_ewma,single_515080,2024-02-14,2026-06-10,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-02-14\single_515080\baseline_r1_domestic_ewma_single_515080_2024-02-14_ratio_20260624_223144_994443,risk_parity_ewma
results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-02-14\single_563020\baseline_r1_domestic_ewma_single_563020_2024-02-14_ratio_20260624_223145_334479,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-02-14\single_563020\baseline_r1_domestic_ewma_single_563020_2024-02-14_ratio_20260624_223145_334479\nav.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-02-14\single_563020\baseline_r1_domestic_ewma_single_563020_2024-02-14_ratio_20260624_223145_334479\positions.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-02-14\single_563020\baseline_r1_domestic_ewma_single_563020_2024-02-14_ratio_20260624_223145_334479\orders.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-02-14\single_563020\baseline_r1_domestic_ewma_single_563020_2024-02-14_ratio_20260624_223145_334479\skipped_orders.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-02-14\single_563020\baseline_r1_domestic_ewma_single_563020_2024-02-14_ratio_20260624_223145_334479\trades.csv,False,2024-02-19,2026-06-10,560,0.44905959766953707,0.1816498698655904,0.07765822052800204,-0.0403147150703409,2.3390938992748485,4037270.567407726,0.7254503169411674,4037270.567407726,1.6121118154248164,0.7254503169411674,937900.0,211027.5,58,59,7,7,58,1,"{'FILLED': 58, 'REJECTED': 1}",{'limit_down': 1},{'below_lot_or_cash': 7},0,4,0.06221997442495267,4,0.0403147150703409,configs\baseline_r1_domestic_ewma.yaml,baseline_r1_domestic_ewma,single_563020,2024-02-14,2026-06-10,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-02-14\single_563020\baseline_r1_domestic_ewma_single_563020_2024-02-14_ratio_20260624_223145_334479,risk_parity_ewma
results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-04-14\pure_512890\baseline_r1_domestic_ewma_pure_512890_2024-04-14_ratio_20260624_223145_662668,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-04-14\pure_512890\baseline_r1_domestic_ewma_pure_512890_2024-04-14_ratio_20260624_223145_662668\nav.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-04-14\pure_512890\baseline_r1_domestic_ewma_pure_512890_2024-04-14_ratio_20260624_223145_662668\positions.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-04-14\pure_512890\baseline_r1_domestic_ewma_pure_512890_2024-04-14_ratio_20260624_223145_662668\orders.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-04-14\pure_512890\baseline_r1_domestic_ewma_pure_512890_2024-04-14_ratio_20260624_223145_662668\skipped_orders.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-04-14\pure_512890\baseline_r1_domestic_ewma_pure_512890_2024-04-14_ratio_20260624_223145_662668\trades.csv,False,2024-04-15,2026-06-10,522,0.44392317088477684,0.19404661763492803,0.0796442745873554,-0.03806133416007507,2.4364164108506494,3969711.111660252,0.765634302057096,3969711.111660252,1.5859567685468419,0.765634302057096,947600.0,228731.0344827586,56,57,4,4,56,1,"{'FILLED': 56, 'REJECTED': 1}",{'limit_down': 1},{'below_lot_or_cash': 4},0,4,0.06386341491663709,4,0.03806133416007507,configs\baseline_r1_domestic_ewma.yaml,baseline_r1_domestic_ewma,pure_512890,2024-04-14,2026-06-10,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-04-14\pure_512890\baseline_r1_domestic_ewma_pure_512890_2024-04-14_ratio_20260624_223145_662668,risk_parity_ewma
results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-04-14\single_515080\baseline_r1_domestic_ewma_single_515080_2024-04-14_ratio_20260624_223145_981250,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-04-14\single_515080\baseline_r1_domestic_ewma_single_515080_2024-04-14_ratio_20260624_223145_981250\nav.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-04-14\single_515080\baseline_r1_domestic_ewma_single_515080_2024-04-14_ratio_20260624_223145_981250\positions.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-04-14\single_515080\baseline_r1_domestic_ewma_single_515080_2024-04-14_ratio_20260624_223145_981250\orders.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-04-14\single_515080\baseline_r1_domestic_ewma_single_515080_2024-04-14_ratio_20260624_223145_981250\skipped_orders.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-04-14\single_515080\baseline_r1_domestic_ewma_single_515080_2024-04-14_ratio_20260624_223145_981250\trades.csv,False,2024-04-15,2026-06-10,522,0.43618502138547566,0.19095313636195477,0.08307511358852195,-0.04207507866928739,2.298560039385101,4076035.673166527,0.7920915111014164,4076035.673166527,1.6407609872815057,0.7920915111014164,918400.0,221682.75862068962,52,53,5,5,52,1,"{'FILLED': 52, 'REJECTED': 1}",{'limit_down': 1},{'below_lot_or_cash': 5},0,4,0.06675141992301481,4,0.04207507866928739,configs\baseline_r1_domestic_ewma.yaml,baseline_r1_domestic_ewma,single_515080,2024-04-14,2026-06-10,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-04-14\single_515080\baseline_r1_domestic_ewma_single_515080_2024-04-14_ratio_20260624_223145_981250,risk_parity_ewma
results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-04-14\single_563020\baseline_r1_domestic_ewma_single_563020_2024-04-14_ratio_20260624_223146_302086,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-04-14\single_563020\baseline_r1_domestic_ewma_single_563020_2024-04-14_ratio_20260624_223146_302086\nav.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-04-14\single_563020\baseline_r1_domestic_ewma_single_563020_2024-04-14_ratio_20260624_223146_302086\positions.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-04-14\single_563020\baseline_r1_domestic_ewma_single_563020_2024-04-14_ratio_20260624_223146_302086\orders.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-04-14\single_563020\baseline_r1_domestic_ewma_single_563020_2024-04-14_ratio_20260624_223146_302086\skipped_orders.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-04-14\single_563020\baseline_r1_domestic_ewma_single_563020_2024-04-14_ratio_20260624_223146_302086\trades.csv,False,2024-04-15,2026-06-10,522,0.4053369945845502,0.1785344993077853,0.07944274592407777,-0.04024384100991796,2.2473354518536914,4083217.5238729194,0.7992714320179303,4083217.5238729194,1.65563368060857,0.7992714320179303,1005000.0,242586.2068965517,58,59,6,6,58,1,"{'FILLED': 58, 'REJECTED': 1}",{'limit_down': 1},{'below_lot_or_cash': 6},0,4,0.06824049654037243,4,0.04024384100991796,configs\baseline_r1_domestic_ewma.yaml,baseline_r1_domestic_ewma,single_563020,2024-04-14,2026-06-10,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-04-14\single_563020\baseline_r1_domestic_ewma_single_563020_2024-04-14_ratio_20260624_223146_302086,risk_parity_ewma
results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-06-14\pure_512890\baseline_r1_domestic_ewma_pure_512890_2024-06-14_ratio_20260624_223146_640929,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-06-14\pure_512890\baseline_r1_domestic_ewma_pure_512890_2024-06-14_ratio_20260624_223146_640929\nav.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-06-14\pure_512890\baseline_r1_domestic_ewma_pure_512890_2024-06-14_ratio_20260624_223146_640929\positions.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-06-14\pure_512890\baseline_r1_domestic_ewma_pure_512890_2024-06-14_ratio_20260624_223146_640929\orders.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-06-14\pure_512890\baseline_r1_domestic_ewma_pure_512890_2024-06-14_ratio_20260624_223146_640929\skipped_orders.csv,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-06-14\pure_512890\baseline_r1_domestic_ewma_pure_512890_2024-06-14_ratio_20260624_223146_640929\trades.csv,False,2024-06-14,2026-06-10,482,0.4477074316198746,0.21340950114086565,0.08065879100868954,-0.03800539078274345,2.64583064625745,4054891.966030565,0.8309758463981879,4054891.966030565,1.589406182396534,0.8309758463981879,924500.0,241674.27385892114,56,57,4,4,56,1,"{'FILLED': 56, 'REJECTED': 1}",{'limit_down': 1},{'below_lot_or_cash': 4},0,4,0.06988669447585995,4,0.03800539078274345,configs\baseline_r1_domestic_ewma.yaml,baseline_r1_domestic_ewma,pure_512890,2024-06-14,2026-06-10,results\backtests\dividend_sleeve_ratio_sensitivity\20260624_223143\baseline_r1_domestic_ewma\2024-06-14\pure_512890\baseline_r1_domestic_ewma_pure_512890_2024-06-14_ratio_20260624_223146_640929,risk_parity_ewma
