config,strategies,common_train_start,common_train_end,common_train_days,daily_error,monthly_error,daily_total_return,daily_annualized_return,daily_annualized_volatility,daily_max_drawdown,daily_sharpe_ratio,daily_annualized_turnover_amount,daily_turnover_amount_total,daily_trade_count,daily_order_count,daily_rejected_order_count,daily_max_pending_intent_count,daily_average_cash_weight,daily_observations,daily_raw_dir,monthly_total_return,monthly_annualized_return,monthly_annualized_volatility,monthly_max_drawdown,monthly_sharpe_ratio,monthly_annualized_turnover_amount,monthly_turnover_amount_total,monthly_trade_count,monthly_order_count,monthly_rejected_order_count,monthly_max_pending_intent_count,monthly_average_cash_weight,monthly_observations,monthly_raw_dir,total_return_delta_daily_minus_monthly,annualized_return_delta_daily_minus_monthly,annualized_volatility_delta_daily_minus_monthly,max_drawdown_delta_daily_minus_monthly,sharpe_ratio_delta_daily_minus_monthly,annualized_turnover_amount_delta_daily_minus_monthly,turnover_amount_total_delta_daily_minus_monthly,trade_count_delta_daily_minus_monthly,order_count_delta_daily_minus_monthly,rejected_order_count_delta_daily_minus_monthly,max_pending_intent_count_delta_daily_minus_monthly,average_cash_weight_delta_daily_minus_monthly,observations_delta_daily_minus_monthly,annualized_turnover_amount_ratio_daily_to_monthly
baseline_r1_domestic_ewma.yaml,risk_parity_ewma,2019-01-18,2025-06-30,1560,,,1.236038636262362,0.14103546754434837,0.09820352874283284,-0.1185662461732725,1.4361547833345196,0.751332653829184,13478305.056460628,280,693,413,4,0.02274748265085505,1537,D:\strategy\platform\results\rebalance_frequency_threshold_compare\20260624_180826\baseline_r1_domestic_ewma\daily\baseline_r1_domestic_ewma_daily_thr005_train_20260624_180826_743088,1.3522225533468761,0.150551397414596,0.0939510004504426,-0.10207564342873254,1.6024459206691368,0.5678100193499716,10276025.086279705,139,406,267,4,0.023759851832235845,1537,D:\strategy\platform\results\rebalance_frequency_threshold_compare\20260624_180826\baseline_r1_domestic_ewma\monthly\baseline_r1_domestic_ewma_monthly_thr005_train_20260624_180832_400539,-0.11618391708451403,-0.00951592987024763,0.0042525282923902286,-0.01649060274453995,-0.1662911373346172,0.18352263447921247,3202279.970180923,141.0,287.0,146.0,0.0,-0.0010123691813807949,0.0,1.3232113351738828
baseline_r1_domestic_low_vol_ewma.yaml,risk_parity_ewma,2019-01-18,2025-06-30,1560,,,1.4895761191656254,0.16130699442572705,0.09838233012478606,-0.12295709514316133,1.6395931486998598,0.7650066157134329,14403365.784103902,221,495,274,3,0.02342357213401344,1537,D:\strategy\platform\results\rebalance_frequency_threshold_compare\20260624_180826\baseline_r1_domestic_low_vol_ewma\daily\baseline_r1_domestic_low_vol_ewma_daily_thr005_train_20260624_180833_190156,1.5499430264939198,0.1658777455662921,0.09782992196138322,-0.11981545821183681,1.695572706597575,0.5729619636832833,10833228.795784967,125,526,401,3,0.023710730898338167,1537,D:\strategy\platform\results\rebalance_frequency_threshold_compare\20260624_180826\baseline_r1_domestic_low_vol_ewma\monthly\baseline_r1_domestic_low_vol_ewma_monthly_thr005_train_20260624_180838_647788,-0.06036690732829442,-0.004570751140565044,0.0005524081634028372,-0.0031416369313245207,-0.05597955789771514,0.19204465203014953,3570136.988318935,96.0,-31.0,-127.0,0.0,-0.00028715876432472767,0.0,1.3351787102857429
baseline_r1_domestic_rolling.yaml,risk_parity,2019-01-18,2025-06-30,1560,,,1.2268056306166115,0.14026164657140527,0.11000060086152669,-0.14889103991760078,1.2750989128502348,0.3176503333959404,5609275.3685499625,120,304,184,4,0.022754207624674484,1537,D:\strategy\platform\results\rebalance_frequency_threshold_compare\20260624_180826\baseline_r1_domestic_rolling\daily\baseline_r1_domestic_rolling_daily_thr005_train_20260624_180839_411897,1.285865646557523,0.14516595906210705,0.11894451236282769,-0.16448342028152574,1.2204510841096528,0.30703211745696485,5467453.158597315,81,234,153,4,0.02363269549392554,1537,D:\strategy\platform\results\rebalance_frequency_threshold_compare\20260624_180826\baseline_r1_domestic_rolling\monthly\baseline_r1_domestic_rolling_monthly_thr005_train_20260624_180845_309070,-0.05906001594091137,-0.004904312490701779,-0.008943911501301,0.015592380363924963,0.05464782874058205,0.01061821593897555,141822.2099526478,39.0,70.0,31.0,0.0,-0.0008784878692510573,0.0,1.034583404586212
baseline_r2_global_dividend_ewma.yaml,risk_parity_lw_cov,2019-01-18,2025-06-30,1559,,,1.4654207829595411,0.15945205482477975,0.11759172003458204,-0.14036737216676887,1.3559802916216142,0.8097100788603153,15263723.493750824,318,794,476,4,0.023064461155957592,1537,D:\strategy\platform\results\rebalance_frequency_threshold_compare\20260624_180826\baseline_r2_global_dividend_ewma\daily\baseline_r2_global_dividend_ewma_daily_thr005_train_20260624_180846_211519,1.4390895579378604,0.15741263416563167,0.1269134891851275,-0.16194822958837252,1.2403144470798952,0.5970524163080713,11066085.10432741,158,413,255,4,0.022881925841037296,1537,D:\strategy\platform\results\rebalance_frequency_threshold_compare\20260624_180826\baseline_r2_global_dividend_ewma\monthly\baseline_r2_global_dividend_ewma_monthly_thr005_train_20260624_180852_809877,0.026331225021680726,0.0020394206591480835,-0.009321769150545445,0.02158085742160365,0.11566584454171891,0.21265766255224405,4197638.389423413,160.0,381.0,221.0,0.0,0.00018253531492029573,0.0,1.356179217676117
baseline_r2_global_ewma.yaml,risk_parity_lw_cov,2019-01-18,2025-06-30,1559,,,1.2943579516751678,0.14586241963504376,0.1059570570068908,-0.10585403869974819,1.3766182617318048,0.8029455287968219,14640463.854637204,352,862,510,5,0.023539610962299274,1537,D:\strategy\platform\results\rebalance_frequency_threshold_compare\20260624_180826\baseline_r2_global_ewma\daily\baseline_r2_global_ewma_daily_thr005_train_20260624_180853_742572,1.3530238111261936,0.1506156461692718,0.12314264853700818,-0.13272165979492723,1.2230989665940728,0.6523271866714138,11796010.103978954,194,613,419,5,0.023882324650629828,1537,D:\strategy\platform\results\rebalance_frequency_threshold_compare\20260624_180826\baseline_r2_global_ewma\monthly\baseline_r2_global_ewma_monthly_thr005_train_20260624_180902_023636,-0.05866585945102587,-0.00475322653422805,-0.01718559153011738,0.02686762109517904,0.153519295137732,0.15061834212540814,2844453.7506582495,158.0,249.0,91.0,0.0,-0.0003427136883305537,0.0,1.2308938600182497
baseline_r3_global_nasdaq_all_weather_ewma.yaml,risk_parity_lw_cov,2020-01-17,2025-06-30,1316,,,0.4583874913085395,0.13555592447054976,0.06353871846802678,-0.055285043193783134,2.1334381262153195,0.9760308018646682,6981299.23429836,263,595,332,7,0.044371649023071204,748,D:\strategy\platform\results\rebalance_frequency_threshold_compare\20260624_180826\baseline_r3_global_nasdaq_all_weather_ewma\daily\baseline_r3_global_nasdaq_all_weather_ewma_daily_thr005_train_20260624_180903_209705,0.5267978056672331,0.1532293895003125,0.06566864610107517,-0.0538332867490412,2.333372143297526,0.9332340682100191,6761902.907057324,179,477,298,7,0.04541368124972065,748,D:\strategy\platform\results\rebalance_frequency_threshold_compare\20260624_180826\baseline_r3_global_nasdaq_all_weather_ewma\monthly\baseline_r3_global_nasdaq_all_weather_ewma_monthly_thr005_train_20260624_180907_104170,-0.0684103143586936,-0.017673465029762747,-0.002129927633048395,-0.0014517564447419362,-0.1999340170822066,0.04279673365464909,219396.32724103518,84.0,118.0,34.0,0.0,-0.0010420322266494475,0.0,1.0458585205067952
baseline_r5_cvar_dynamic_budget.yaml,risk_parity_cvar_dynamic_budget,2017-08-24,2025-06-30,1902,,,1.4176140925204868,0.1240071106053866,0.0626427374559455,-0.07647255771809047,1.9795927770972108,0.5630130544015552,12300369.423801364,227,797,570,3,0.02670422408724676,1903,D:\strategy\platform\results\rebalance_frequency_threshold_compare\20260624_180826\baseline_r5_cvar_dynamic_budget\daily\baseline_r5_cvar_dynamic_budget_daily_thr005_train_20260624_180907_794095,1.5153439865906289,0.1299210607732837,0.06417290764684158,-0.07126564183981698,2.0245468927209824,0.5034636649081723,11128599.918781895,138,434,296,3,0.02774557522603642,1903,D:\strategy\platform\results\rebalance_frequency_threshold_compare\20260624_180826\baseline_r5_cvar_dynamic_budget\monthly\baseline_r5_cvar_dynamic_budget_monthly_thr005_train_20260624_180916_257828,-0.0977298940701421,-0.005913950167897086,-0.001530170190896088,-0.005206915878273488,-0.04495411562377161,0.059549389493382954,1171769.5050194692,89.0,363.0,274.0,0.0,-0.0010413511387896597,0.0,1.118279418444714
baseline_r6_adaptive_risk_deviation.yaml,adaptive_risk_deviation_volatility_triggered,2017-08-24,2025-06-30,1902,,,1.3241547094195742,0.1181542737698631,0.06555598330887262,-0.07769925824851087,1.8023415683228963,0.3310408383942212,7103960.366263533,128,652,524,3,0.018938552804516024,1903,D:\strategy\platform\results\rebalance_frequency_threshold_compare\20260624_180826\baseline_r6_adaptive_risk_deviation\daily\baseline_r6_adaptive_risk_deviation_daily_thr005_train_20260624_180917_192997,1.4010895153504097,0.12298672236028385,0.06689858460237096,-0.07592185440099841,1.8384054474588252,0.33385412564494676,7251996.365310315,97,559,462,3,0.018453649995790005,1903,D:\strategy\platform\results\rebalance_frequency_threshold_compare\20260624_180826\baseline_r6_adaptive_risk_deviation\monthly\baseline_r6_adaptive_risk_deviation_monthly_thr005_train_20260624_180932_655407,-0.07693480593083546,-0.004832448590420757,-0.0013426012934983356,-0.0017774038475124598,-0.0360638791359289,-0.002813287250725549,-148035.99904678203,31.0,93.0,62.0,0.0,0.00048490280872601904,0.0,0.9915733039234104
baseline_risk_parity_gerber.yaml,risk_parity_gerber,2017-08-24,2025-06-30,1902,,,1.331648453937631,0.11863102375927959,0.06605184443341892,-0.08063568621865225,1.7960289341936715,0.36995129890109646,7960344.40377021,145,487,342,3,0.020193310799599497,1903,D:\strategy\platform\results\rebalance_frequency_threshold_compare\20260624_180826\baseline_risk_parity_gerber\daily\baseline_risk_parity_gerber_daily_thr005_train_20260624_180934_060339,1.3692689742727548,0.12100453006596523,0.06708412572382962,-0.0777420971614946,1.8037729307841603,0.30285369748399144,6529306.999945093,83,593,510,3,0.019324084692974367,1903,D:\strategy\platform\results\rebalance_frequency_threshold_compare\20260624_180826\baseline_risk_parity_gerber\monthly\baseline_risk_parity_gerber_monthly_thr005_train_20260624_180942_348673,-0.037620520335123864,-0.0023735063066856465,-0.0010322812904106915,-0.0028935890571576417,-0.007743996590488855,0.06709760141710502,1431037.4038251173,62.0,-106.0,-168.0,0.0,0.0008692261066251296,0.0,1.221551204342327
baseline_risk_parity_hrp.yaml,hrp,2017-08-24,2025-06-30,1902,,,1.5523881593347477,0.13211070875367747,0.06227795857840354,-0.07445046176216985,2.121307630650087,0.6745389712779823,14957786.052685125,262,792,530,3,0.019409821038878176,1903,D:\strategy\platform\results\rebalance_frequency_threshold_compare\20260624_180826\baseline_risk_parity_hrp\daily\baseline_risk_parity_hrp_daily_thr005_train_20260624_180943_399286,1.6294459330774478,0.13657858548792512,0.06402902124830206,-0.0699508176345488,2.133073141291332,0.5598632213276229,12503458.586654034,151,637,486,3,0.01989503383618713,1903,D:\strategy\platform\results\rebalance_frequency_threshold_compare\20260624_180826\baseline_risk_parity_hrp\monthly\baseline_risk_parity_hrp_monthly_thr005_train_20260624_180951_267728,-0.07705777374270006,-0.004467876734247644,-0.0017510626698985232,-0.00449964412762105,-0.01176551064124487,0.11467574995035945,2454327.4660310913,111.0,155.0,44.0,0.0,-0.0004852127973089537,0.0,1.2048281537023005
