Trade_Date,Asset_ID,Asset_Name,Price,Holding_Weight_Pct,Daily_Contribution_Pct
2025-08-01,CN_ETF:159981.SZ,能源化工ETF (159981),1.347,6.34439210313556,-0.05648778813554554
2025-08-01,CN_ETF:159985.SZ,豆粕ETF (159985),1.955,11.39500157388059,0.03495181890886742
2025-08-01,CN_ETF:510300.SH,沪深300ETF (510300),4.133,12.40989235964387,-0.06602010238341993
2025-08-01,CN_ETF:512890.SH,红利低波ETF (512890),1.181,12.58522272047477,0.01065030172138979
2025-08-01,CN_ETF:518880.SH,黄金ETF (518880),7.352,7.7913091440288404,0.0021182920550841247
2025-08-01,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),255.8739,46.09776273857655,0.017447312511687508
2025-08-04,CN_ETF:159981.SZ,能源化工ETF (159981),1.341,6.295079326093419,-0.028260098454947015
2025-08-04,CN_ETF:159985.SZ,豆粕ETF (159985),1.962,11.397684732864791,0.040800517144327905
2025-08-04,CN_ETF:510300.SH,沪深300ETF (510300),4.152,12.425388119490451,0.05705007375592492
2025-08-04,CN_ETF:512890.SH,红利低波ETF (512890),1.187,12.606999515037229,0.06393847275431636
2025-08-04,CN_ETF:518880.SH,黄金ETF (518880),7.446,7.86462427216303,0.09961684705368701
2025-08-04,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),256.4361,46.04505882006453,0.10128489936499585
2025-08-05,CN_ETF:159981.SZ,能源化工ETF (159981),1.342,6.28509344139835,0.004694317170838284
2025-08-05,CN_ETF:159985.SZ,豆粕ETF (159985),1.966,11.39430772050229,0.023236869995647856
2025-08-05,CN_ETF:510300.SH,沪深300ETF (510300),4.183,12.488988814584891,0.09277144308867885
2025-08-05,CN_ETF:512890.SH,红利低波ETF (512890),1.2,12.71537160461737,0.13807160378726402
2025-08-05,CN_ETF:518880.SH,黄金ETF (518880),7.455,7.855781379482531,0.009505992270946489
2025-08-05,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),256.2428,45.90313358380942,-0.03470849022395838
2025-08-06,CN_ETF:159981.SZ,能源化工ETF (159981),1.346,6.29677311179276,0.01873351249299025
2025-08-06,CN_ETF:159985.SZ,豆粕ETF (159985),1.97,11.40471452445154,0.023182721710077025
2025-08-06,CN_ETF:510300.SH,沪深300ETF (510300),4.194,12.50781935339711,0.03284218908927565
2025-08-06,CN_ETF:512890.SH,红利低波ETF (512890),1.201,12.711727672869818,0.010596143003849465
2025-08-06,CN_ETF:518880.SH,黄金ETF (518880),7.468,7.860674487180811,0.013698881010499531
2025-08-06,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),256.3152,45.86472416494778,0.012969679036710336
2025-08-07,CN_ETF:159981.SZ,能源化工ETF (159981),1.34,6.2618558083306795,-0.02806882516400923
2025-08-07,CN_ETF:159985.SZ,豆粕ETF (159985),1.975,11.42116937428971,0.028945975950385335
2025-08-07,CN_ETF:510300.SH,沪深300ETF (510300),4.193,12.49117566810503,-0.0029823126736772862
2025-08-07,CN_ETF:512890.SH,红利低波ETF (512890),1.206,12.75070388971336,0.05292143077797449
2025-08-07,CN_ETF:518880.SH,黄金ETF (518880),7.484,7.86890969824481,0.016841295098405974
2025-08-07,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),256.5483,45.856282604155155,0.04171062505402671
2025-08-08,CN_ETF:159981.SZ,能源化工ETF (159981),1.328,6.20898339739072,-0.05607632067161791
2025-08-08,CN_ETF:159985.SZ,豆粕ETF (159985),1.984,11.47913858228441,0.052045835123343764
2025-08-08,CN_ETF:510300.SH,沪深300ETF (510300),4.183,12.46781866637382,-0.0297905453567962
2025-08-08,CN_ETF:512890.SH,红利低波ETF (512890),1.207,12.76786498378914,0.010572722959963402
2025-08-08,CN_ETF:518880.SH,黄金ETF (518880),7.508,7.89821961838264,0.025234344302227703
2025-08-08,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),256.2485,45.8263423121725,-0.05358723298780689
2025-08-11,CN_ETF:159981.SZ,能源化工ETF (159981),1.336,6.276093568812461,0.03740351444211324
2025-08-11,CN_ETF:159985.SZ,豆粕ETF (159985),1.969,11.44653064616563,-0.08678784210396359
2025-08-11,CN_ETF:510300.SH,沪深300ETF (510300),4.202,12.58401388457755,0.056631258585011696
2025-08-11,CN_ETF:512890.SH,红利低波ETF (512890),1.2,12.75418715518401,-0.07404726999712086
2025-08-11,CN_ETF:518880.SH,黄金ETF (518880),7.429,7.852280915126681,-0.08310593365106944
2025-08-11,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),254.44,45.719321648623215,-0.3234240983715542
2025-08-12,CN_ETF:159981.SZ,能源化工ETF (159981),1.346,6.322919262380659,0.04697674826955384
2025-08-12,CN_ETF:159985.SZ,豆粕ETF (159985),1.984,11.53345570059213,0.08720058897535854
2025-08-12,CN_ETF:510300.SH,沪深300ETF (510300),4.228,12.661575359478249,0.07786396025678638
2025-08-12,CN_ETF:512890.SH,红利低波ETF (512890),1.202,12.77513893538319,0.02125697859197384
2025-08-12,CN_ETF:518880.SH,黄金ETF (518880),7.399,7.82038478085421,-0.03170930508194912
2025-08-12,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),253.3314,45.51903422926389,-0.19919996847847618
2025-08-13,CN_ETF:159981.SZ,能源化工ETF (159981),1.335,6.2540776124991,-0.051673188622725075
2025-08-13,CN_ETF:159985.SZ,豆粕ETF (159985),2.026,11.745368567878229,0.2441558162423719
2025-08-13,CN_ETF:510300.SH,沪深300ETF (510300),4.263,12.731439849871409,0.10481436555859461
2025-08-13,CN_ETF:512890.SH,红利低波ETF (512890),1.198,12.69776855186405,-0.0425129415486961
2025-08-13,CN_ETF:518880.SH,黄金ETF (518880),7.415,7.81584025224958,0.016911225367436406
2025-08-13,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),253.3471,45.39723243897761,0.002821003781607484
2025-08-14,CN_ETF:159981.SZ,能源化工ETF (159981),1.315,6.175881928175571,-0.09369404662920022
2025-08-14,CN_ETF:159985.SZ,豆粕ETF (159985),2.02,11.74004627373148,-0.0347839148110897
2025-08-14,CN_ETF:510300.SH,沪深300ETF (510300),4.256,12.742511671122411,-0.020905484154138804
2025-08-14,CN_ETF:512890.SH,红利低波ETF (512890),1.199,12.7403395453492,0.010599139024928213
