slippage_scenario,start_date,run_id,raw_path,total_return,annualized_return,annualized_volatility,max_drawdown,sharpe_ratio,annualized_turnover,trade_count,order_count,rejected_order_count,max_pending_intent_count,average_cash_weight,execution_slippage
default,2020-03-16,r9_rotation_industry_momentum_default_start_20200316_sensitivity_20260712_031737_382476,D:\qcy_project\strategy\platform\results\sensitivity_raw\industry_momentum_rotation\20260712_031736\default\2020-03-16\industry_momentum_rotation\r9_rotation_industry_momentum_default_start_20200316_sensitivity_20260712_031737_382476,-0.17455860419944325,-0.036978556349281044,0.23675313666801662,-0.5324768219160156,-0.15619035451738764,4.47597531223287,209,210,1,6,0.14594833646112018,0.00021816476686487753
default,2020-05-18,r9_rotation_industry_momentum_default_start_20200518_sensitivity_20260712_031738_723308,D:\qcy_project\strategy\platform\results\sensitivity_raw\industry_momentum_rotation\20260712_031736\default\2020-05-18\industry_momentum_rotation\r9_rotation_industry_momentum_default_start_20200518_sensitivity_20260712_031738_723308,-0.3260312680280397,-0.07693719083298556,0.23129339846775246,-0.5325523164199866,-0.332638939730536,4.4507042093674185,201,202,1,6,0.1530740678619762,0.00021867966327803978
default,2020-07-16,r9_rotation_industry_momentum_default_start_20200716_sensitivity_20260712_031740_009792,D:\qcy_project\strategy\platform\results\sensitivity_raw\industry_momentum_rotation\20260712_031736\default\2020-07-16\industry_momentum_rotation\r9_rotation_industry_momentum_default_start_20200716_sensitivity_20260712_031740_009792,-0.2798078867332672,-0.06655425232895251,0.23207292107021582,-0.5325348391344087,-0.2867816375216646,4.402960338877561,192,193,1,6,0.15586752802848852,0.0002196509277732775
default,2020-09-16,r9_rotation_industry_momentum_default_start_20200916_sensitivity_20260712_031741_276224,D:\qcy_project\strategy\platform\results\sensitivity_raw\industry_momentum_rotation\20260712_031736\default\2020-09-16\industry_momentum_rotation\r9_rotation_industry_momentum_default_start_20200916_sensitivity_20260712_031741_276224,-0.42817863866171946,-0.11461904310320803,0.23055455139076064,-0.5317604874744892,-0.49714500282817375,4.461138572664565,191,192,1,6,0.16280808540867248,0.00021994141983330113
default,2020-11-16,r9_rotation_industry_momentum_default_start_20201116_sensitivity_20260712_031742_481053,D:\qcy_project\strategy\platform\results\sensitivity_raw\industry_momentum_rotation\20260712_031736\default\2020-11-16\industry_momentum_rotation\r9_rotation_industry_momentum_default_start_20201116_sensitivity_20260712_031742_481053,-0.4188230464254318,-0.11494678008108106,0.22317747155010836,-0.5053377283585353,-0.5150465200752707,4.665817072117308,189,190,1,6,0.1653687230439308,0.00022790043153697175
default,2021-01-18,r9_rotation_industry_momentum_default_start_20210118_sensitivity_20260712_031743_626962,D:\qcy_project\strategy\platform\results\sensitivity_raw\industry_momentum_rotation\20260712_031736\default\2021-01-18\industry_momentum_rotation\r9_rotation_industry_momentum_default_start_20210118_sensitivity_20260712_031743_626962,-0.43256405051543567,-0.124276220910707,0.2167946172946516,-0.505365600278626,-0.5732440337381611,4.51510691546118,179,180,1,6,0.1888381440298667,0.0002216327957598046
default,2021-03-16,r9_rotation_industry_momentum_default_start_20210316_sensitivity_20260712_031744_776272,D:\qcy_project\strategy\platform\results\sensitivity_raw\industry_momentum_rotation\20260712_031736\default\2021-03-16\industry_momentum_rotation\r9_rotation_industry_momentum_default_start_20210316_sensitivity_20260712_031744_776272,-0.43789036393639924,-0.130279491319105,0.21817006506499062,-0.5053356499780943,-0.5971465025703506,4.50003858849366,174,175,1,6,0.18094178936529007,0.00022271665318224123
default,2021-05-17,r9_rotation_industry_momentum_default_start_20210517_sensitivity_20260712_031745_888378,D:\qcy_project\strategy\platform\results\sensitivity_raw\industry_momentum_rotation\20260712_031736\default\2021-05-17\industry_momentum_rotation\r9_rotation_industry_momentum_default_start_20210517_sensitivity_20260712_031745_888378,-0.4740252165038432,-0.1494826825784905,0.208235125574095,-0.5266203898457267,-0.7178552713735178,4.650603203345981,167,168,1,6,0.19850639790833569,0.00021193141767970883
default,2021-07-16,r9_rotation_industry_momentum_default_start_20210716_sensitivity_20260712_031746_961754,D:\qcy_project\strategy\platform\results\sensitivity_raw\industry_momentum_rotation\20260712_031736\default\2021-07-16\industry_momentum_rotation\r9_rotation_industry_momentum_default_start_20210716_sensitivity_20260712_031746_961754,-0.3834878580441077,-0.11958623230585452,0.20442353220629764,-0.43623658406065446,-0.5849924958011778,4.667055844076113,159,160,1,6,0.19433570889266372,0.00021299071354676449
default,2021-09-16,r9_rotation_industry_momentum_default_start_20210916_sensitivity_20260712_031747_990447,D:\qcy_project\strategy\platform\results\sensitivity_raw\industry_momentum_rotation\20260712_031736\default\2021-09-16\industry_momentum_rotation\r9_rotation_industry_momentum_default_start_20210916_sensitivity_20260712_031747_990447,-0.3717606821163476,-0.12041082112763091,0.2048758456784522,-0.421031601448136,-0.5877258040296894,4.599013207651859,149,150,1,6,0.20391965726193953,0.00021405234540534035
