slippage_scenario,start_date,run_id,raw_path,total_return,annualized_return,annualized_volatility,max_drawdown,sharpe_ratio,annualized_turnover,trade_count,rejected_order_count,max_pending_intent_count,average_cash_weight,execution_slippage
default,2012-05-28,r8_permanent_real_equal_weight_monthly_default_start_20120528_sensitivity_20260709_232001_477169,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260709_232001\default\2012-05-28\monthly_equal_weight\r8_permanent_real_equal_weight_monthly_default_start_20120528_sensitivity_20260709_232001_477169,1.2321150977125441,0.06567666753893286,0.0806615215438166,-0.12992605759611797,0.8142254978819892,0.1668670773566535,406,0,4,0.25044818103305583,0.00031149022966373203
default,2012-07-25,r8_permanent_real_equal_weight_monthly_default_start_20120725_sensitivity_20260709_232002_880222,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260709_232001\default\2012-07-25\monthly_equal_weight\r8_permanent_real_equal_weight_monthly_default_start_20120725_sensitivity_20260709_232002_880222,1.2780289646525889,0.06830641738177268,0.08111253450110381,-0.1299040073143577,0.8421191348772752,0.17253521275587316,424,0,4,0.2436780272205041,0.0003083693726298038
default,2012-09-20,r8_permanent_real_equal_weight_monthly_default_start_20120920_sensitivity_20260709_232004_174109,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260709_232001\default\2012-09-20\monthly_equal_weight\r8_permanent_real_equal_weight_monthly_default_start_20120920_sensitivity_20260709_232004_174109,1.3206415074769282,0.07085331912261972,0.08145929835707483,-0.1299793277107888,0.86980026285073,0.16776574304865227,400,0,4,0.23709760213818273,0.00031292843533488806
default,2012-11-23,r8_permanent_real_equal_weight_monthly_default_start_20121123_sensitivity_20260709_232005_554810,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260709_232001\default\2012-11-23\monthly_equal_weight\r8_permanent_real_equal_weight_monthly_default_start_20121123_sensitivity_20260709_232005_554810,1.3207281098649881,0.07183991537936985,0.08185681638439285,-0.12995919543350243,0.8776289935588936,0.168819147757855,398,0,4,0.23015027022688478,0.000313097893274611
default,2013-01-24,r8_permanent_real_equal_weight_monthly_default_start_20130124_sensitivity_20260709_232006_824708,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260709_232001\default\2013-01-24\monthly_equal_weight\r8_permanent_real_equal_weight_monthly_default_start_20130124_sensitivity_20260709_232006_824708,1.2210261555864408,0.0689231393256644,0.082131629034362,-0.13000051048982963,0.8391790122271718,0.17638749965467435,417,0,4,0.2230260965807987,0.00030880999817615664
default,2013-03-29,r8_permanent_real_equal_weight_monthly_default_start_20130329_sensitivity_20260709_232007_990130,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260709_232001\default\2013-03-29\monthly_equal_weight\r8_permanent_real_equal_weight_monthly_default_start_20130329_sensitivity_20260709_232007_990130,1.2415865942444282,0.07074027062111954,0.08236309475284383,-0.12993187005345153,0.8588831057574731,0.1744346683000035,409,0,4,0.2160027191496555,0.00031169375416538404
default,2013-06-03,r8_permanent_real_equal_weight_monthly_default_start_20130603_sensitivity_20260709_232009_209529,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260709_232001\default\2013-06-03\monthly_equal_weight\r8_permanent_real_equal_weight_monthly_default_start_20130603_sensitivity_20260709_232009_209529,1.2127470516508803,0.07057216529669996,0.08277955976136908,-0.13002227552095635,0.8525312951668297,0.1742400036022777,399,0,4,0.20847009725934335,0.00031165575593869346
default,2013-08-02,r8_permanent_real_equal_weight_monthly_default_start_20130802_sensitivity_20260709_232010_381678,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260709_232001\default\2013-08-02\monthly_equal_weight\r8_permanent_real_equal_weight_monthly_default_start_20130802_sensitivity_20260709_232010_381678,1.2800826538134045,0.07440781820885078,0.08279438696196642,-0.12993544297541837,0.8987060710170098,0.1798955390636841,413,0,4,0.2011065608083376,0.0003102998531714437
default,2013-10-09,r8_permanent_real_equal_weight_monthly_default_start_20131009_sensitivity_20260709_232011_502713,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260709_232001\default\2013-10-09\monthly_equal_weight\r8_permanent_real_equal_weight_monthly_default_start_20131009_sensitivity_20260709_232011_502713,1.2349759129044844,0.07362001306711519,0.08297610621846092,-0.1299414059086631,0.8872435261457936,0.17567403131135506,391,0,4,0.19708165073690384,0.00031352130844454506
default,2013-12-05,r8_permanent_real_equal_weight_monthly_default_start_20131205_sensitivity_20260709_232012_592365,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260709_232001\default\2013-12-05\monthly_equal_weight\r8_permanent_real_equal_weight_monthly_default_start_20131205_sensitivity_20260709_232012_592365,1.2703133937944284,0.07624454135166192,0.08333019835730239,-0.12992045576940459,0.9149689170874326,0.1751206119533046,386,0,4,0.19237531778373662,0.0003123786008056919
