slippage_scenario,start_date,run_id,raw_path,total_return,annualized_return,annualized_volatility,max_drawdown,sharpe_ratio,annualized_turnover,trade_count,order_count,rejected_order_count,max_pending_intent_count,average_cash_weight,execution_slippage
default,2020-03-16,baseline_r9_industry_equal_weight_default_start_20200316_sensitivity_20260712_031853_795822,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\default\2020-03-16\monthly_equal_weight\baseline_r9_industry_equal_weight_default_start_20200316_sensitivity_20260712_031853_795822,0.3970909970328722,0.06788443851741133,0.20419730890763235,-0.36276492919687164,0.3324453141942165,0.33864726261239225,886,891,5,16,0.0014381732700147487,0.00022560002755996942
default,2020-05-18,baseline_r9_industry_equal_weight_default_start_20200518_sensitivity_20260712_031855_127831,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\default\2020-05-18\monthly_equal_weight\baseline_r9_industry_equal_weight_default_start_20200518_sensitivity_20260712_031855_127831,0.31666412714279235,0.057404866937516896,0.2035799471858131,-0.3627428486294483,0.2819770204828763,0.3457641867416241,857,862,5,16,0.0015429280002250284,0.00022566768720765144
default,2020-07-16,baseline_r9_industry_equal_weight_default_start_20200716_sensitivity_20260712_031856_364442,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\default\2020-07-16\monthly_equal_weight\baseline_r9_industry_equal_weight_default_start_20200716_sensitivity_20260712_031856_364442,0.11352106352048796,0.022818339002767862,0.20012770746295322,-0.3629998405475102,0.11401888969817882,0.3636012625727013,828,833,5,16,0.0015789190987982162,0.00022590099985512352
default,2020-09-16,baseline_r9_industry_equal_weight_default_start_20200916_sensitivity_20260712_031857_517246,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\default\2020-09-16\monthly_equal_weight\baseline_r9_industry_equal_weight_default_start_20200916_sensitivity_20260712_031857_517246,0.09766804588959621,0.02050415527725069,0.19896782875932698,-0.36301337418391555,0.1030526161194264,0.3709183358242791,812,817,5,16,0.0016099839408712639,0.0002261335275604419
default,2020-11-16,baseline_r9_industry_equal_weight_default_start_20201116_sensitivity_20260712_031858_638583,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\default\2020-11-16\monthly_equal_weight\baseline_r9_industry_equal_weight_default_start_20201116_sensitivity_20260712_031858_638583,0.027369715677348028,0.006093911728915824,0.19908842474158253,-0.3630122544251886,0.03060907100362938,0.38195832824079545,777,782,5,16,0.001672713590285449,0.00022559789321793542
default,2021-01-18,baseline_r9_industry_equal_weight_default_start_20210118_sensitivity_20260712_031859_721195,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\default\2021-01-18\monthly_equal_weight\baseline_r9_industry_equal_weight_default_start_20210118_sensitivity_20260712_031859_721195,-0.065915940273376,-0.015843035831075936,0.1998405607614877,-0.36318351017230877,-0.07927837957773148,0.3950925522560712,748,753,5,16,0.0017501378080774011,0.0002258772966147458
default,2021-03-16,baseline_r9_industry_equal_weight_default_start_20210316_sensitivity_20260712_031900_800260,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\default\2021-03-16\monthly_equal_weight\baseline_r9_industry_equal_weight_default_start_20210316_sensitivity_20260712_031900_800260,0.03847202304966024,0.009189181824784898,0.19799308874152574,-0.36303833967413346,0.04641162923005413,0.38404337259448457,720,725,5,16,0.001756258034121015,0.00022571207198277958
default,2021-05-17,baseline_r9_industry_equal_weight_default_start_20210517_sensitivity_20260712_031901_858918,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\default\2021-05-17\monthly_equal_weight\baseline_r9_industry_equal_weight_default_start_20210517_sensitivity_20260712_031901_858918,-0.04149787780134784,-0.010623807072166036,0.199464503440632,-0.363198456715508,-0.05326164249233485,0.40058414983242907,689,694,5,16,0.0017883477935332287,0.00022524363692899446
default,2021-07-16,baseline_r9_industry_equal_weight_default_start_20210716_sensitivity_20260712_031902_894201,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\default\2021-07-16\monthly_equal_weight\baseline_r9_industry_equal_weight_default_start_20210716_sensitivity_20260712_031902_894201,-0.10375974987583192,-0.02843409130210728,0.20118263553732188,-0.36323207971957217,-0.14133471920260435,0.41089161458372314,660,665,5,16,0.0019199657201756759,0.00022438799839691394
default,2021-09-16,baseline_r9_industry_equal_weight_default_start_20210916_sensitivity_20260712_031903_857369,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\default\2021-09-16\monthly_equal_weight\baseline_r9_industry_equal_weight_default_start_20210916_sensitivity_20260712_031903_857369,-0.11676228664801591,-0.03368947433994429,0.20173521326538968,-0.3634045534627568,-0.1669984817951669,0.403501129267416,624,629,5,16,0.002001293212690911,0.0002234483696168787
default,2021-11-16,baseline_r9_industry_equal_weight_default_start_20211116_sensitivity_20260712_031904_808157,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\default\2021-11-16\monthly_equal_weight\baseline_r9_industry_equal_weight_default_start_20211116_sensitivity_20260712_031904_808157,-0.10619876968406794,-0.03174573813699855,0.2040595934294983,-0.36328775630804233,-0.15557091731620332,0.40560894777071915,598,603,5,16,0.0020671243077300923,0.00022358006095862261
default,2022-01-17,baseline_r9_industry_equal_weight_default_start_20220117_sensitivity_20260712_031905_747595,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\default\2022-01-17\monthly_equal_weight\baseline_r9_industry_equal_weight_default_start_20220117_sensitivity_20260712_031905_747595,-0.10656977257207989,-0.03347616585868185,0.2070161101995894,-0.3331930601339357,-0.16170802275439647,0.4105155475618371,566,571,5,16,0.0017577802229524011,0.00022297292388018554
default,2022-03-16,baseline_r9_industry_equal_weight_default_start_20220316_sensitivity_20260712_031906_605368,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\default\2022-03-16\monthly_equal_weight\baseline_r9_industry_equal_weight_default_start_20220316_sensitivity_20260712_031906_605368,0.013079488948368079,0.0041171878616315105,0.20360908371443157,-0.28953084505048854,0.020221042138797708,0.39521410082040864,542,547,5,16,0.0018679242946269608,0.00022192064463809406
default,2022-05-16,baseline_r9_industry_equal_weight_default_start_20220516_sensitivity_20260712_031907_467509,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\default\2022-05-16\monthly_equal_weight\baseline_r9_industry_equal_weight_default_start_20220516_sensitivity_20260712_031907_467509,0.07765434613100397,0.025141234135281465,0.19887791038996086,-0.28959682079703886,0.12641541781077847,0.38325859791076977,506,511,5,16,0.001885739465813373,0.00022229757664451232
default,2022-07-18,baseline_r9_industry_equal_weight_default_start_20220718_sensitivity_20260712_031908_285215,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\default\2022-07-18\monthly_equal_weight\baseline_r9_industry_equal_weight_default_start_20220718_sensitivity_20260712_031908_285215,-0.007347262282303979,-0.0025957097256730233,0.19971570795557456,-0.2675391918476717,-0.012997023380105995,0.4121590276538323,481,486,5,16,0.0020430879254012906,0.00022202274913197102
default,2022-09-16,baseline_r9_industry_equal_weight_default_start_20220916_sensitivity_20260712_031909_062144,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\default\2022-09-16\monthly_equal_weight\baseline_r9_industry_equal_weight_default_start_20220916_sensitivity_20260712_031909_062144,0.05224702105644008,0.019281494188851056,0.2019495960249009,-0.26734276135901247,0.095476765333433,0.41763590017264446,459,464,5,16,0.002189701901946239,0.00022215756033587596
default,2022-11-16,baseline_r9_industry_equal_weight_default_start_20221116_sensitivity_20260712_031909_852600,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\default\2022-11-16\monthly_equal_weight\baseline_r9_industry_equal_weight_default_start_20221116_sensitivity_20260712_031909_852600,0.05863592127203199,0.02290711267980483,0.20096060972459623,-0.2673590218557629,0.11398807314128662,0.41450777213892664,432,437,5,16,0.0022545920036235617,0.00022378877424702093
default,2023-01-16,baseline_r9_industry_equal_weight_default_start_20230116_sensitivity_20260712_031910_595349,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\default\2023-01-16\monthly_equal_weight\baseline_r9_industry_equal_weight_default_start_20230116_sensitivity_20260712_031910_595349,0.01757331443960397,0.007443127046676601,0.204560976457435,-0.26741653098467366,0.03638585997962991,0.4376483649911077,400,405,5,16,0.002380827237175673,0.0002234188006507311
default,2023-03-16,baseline_r9_industry_equal_weight_default_start_20230316_sensitivity_20260712_031911_286685,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\default\2023-03-16\monthly_equal_weight\baseline_r9_industry_equal_weight_default_start_20230316_sensitivity_20260712_031911_286685,0.03556213572023603,0.01602229130821642,0.20828562821275345,-0.26735076202207053,0.07692461282950565,0.4472474734647165,373,378,5,16,0.0025868959344682377,0.00022326185371986473
default,2023-05-16,baseline_r9_industry_equal_weight_default_start_20230516_sensitivity_20260712_031911_951165,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\default\2023-05-16\monthly_equal_weight\baseline_r9_industry_equal_weight_default_start_20230516_sensitivity_20260712_031911_951165,0.03650920871123997,0.017701154249128992,0.21263601233026455,-0.24699409809387218,0.08324626696646145,0.46568629519676036,346,351,5,16,0.002786423779898723,0.00022337362903270601
default,2023-07-17,baseline_r9_industry_equal_weight_default_start_20230717_sensitivity_20260712_031912_581652,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\default\2023-07-17\monthly_equal_weight\baseline_r9_industry_equal_weight_default_start_20230717_sensitivity_20260712_031912_581652,0.03840492251598415,0.020280766708052678,0.2182395471595973,-0.24698120924076283,0.09292892590737219,0.4862377041287042,317,322,5,16,0.0030004768259874557,0.00022392858354437276
default,2023-09-18,baseline_r9_industry_equal_weight_default_start_20230918_sensitivity_20260712_031913_168800,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\default\2023-09-18\monthly_equal_weight\baseline_r9_industry_equal_weight_default_start_20230918_sensitivity_20260712_031913_168800,0.0700686602559275,0.04067982837111739,0.22358885410504348,-0.19690059628114542,0.1819403231612151,0.5056759265275135,290,295,5,16,0.003259534753873732,0.00022504850655509062
default,2023-11-16,baseline_r9_industry_equal_weight_default_start_20231116_sensitivity_20260712_031913_739603,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\default\2023-11-16\monthly_equal_weight\baseline_r9_industry_equal_weight_default_start_20231116_sensitivity_20260712_031913_739603,0.08972699148137608,0.05694237638534627,0.2303560735370845,-0.18701404344544392,0.24719285891187603,0.5304336439599974,264,269,5,16,0.003572434086982875,0.0002248909270945003
default,2024-01-16,baseline_r9_industry_equal_weight_default_start_20240116_sensitivity_20260712_031914_299422,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\default\2024-01-16\monthly_equal_weight\baseline_r9_industry_equal_weight_default_start_20240116_sensitivity_20260712_031914_299422,0.19739221169036392,0.1389158410490754,0.23922812072962538,-0.17436009672626596,0.5806835777725208,0.537489386165016,243,248,5,16,0.0038345844285509493,0.00022542459634722255
default,2024-03-18,baseline_r9_industry_equal_weight_default_start_20240318_sensitivity_20260712_031914_810044,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\default\2024-03-18\monthly_equal_weight\baseline_r9_industry_equal_weight_default_start_20240318_sensitivity_20260712_031914_810044,0.11141877592613203,0.08936705553930047,0.23580563440184152,-0.17438505943359706,0.37898609066740163,0.5895761873300611,215,220,5,16,0.004278295673903285,0.00022533926736422057
default,2024-05-16,baseline_r9_industry_equal_weight_default_start_20240516_sensitivity_20260712_031915_320420,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\default\2024-05-16\monthly_equal_weight\baseline_r9_industry_equal_weight_default_start_20240516_sensitivity_20260712_031915_320420,0.12124133116919622,0.11141458263138682,0.24282612530166198,-0.17398967991608683,0.45882452925103057,0.6404442512848486,185,190,5,16,0.004876573234358732,0.0002247943530812985
default,2024-07-16,baseline_r9_industry_equal_weight_default_start_20240716_sensitivity_20260712_031915_819386,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\default\2024-07-16\monthly_equal_weight\baseline_r9_industry_equal_weight_default_start_20240716_sensitivity_20260712_031915_819386,0.2028907476828119,0.22326196930274533,0.2562398477068679,-0.1539395385077399,0.8713007414762107,0.6784998495643261,160,165,5,16,0.0057292945463004435,0.0002266144581523536
default,2024-09-18,baseline_r9_industry_equal_weight_default_start_20240918_sensitivity_20260712_031916_264334,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\default\2024-09-18\monthly_equal_weight\baseline_r9_industry_equal_weight_default_start_20240918_sensitivity_20260712_031916_264334,0.3258439885599995,0.4624128831434302,0.2719274141938609,-0.15390185323862426,1.7005011595254957,0.7273401903281709,134,139,5,16,0.00741225403209032,0.00022567731710339105
default,2024-11-18,baseline_r9_industry_equal_weight_default_start_20241118_sensitivity_20260712_031916_674061,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\default\2024-11-18\monthly_equal_weight\baseline_r9_industry_equal_weight_default_start_20241118_sensitivity_20260712_031916_674061,0.010597699743292166,0.01798920864368103,0.1907488006415599,-0.1310588181231387,0.09430837092121451,1.010957363810388,104,104,0,16,0.007004086519318119,0.00022625107964666468
default,2025-01-16,baseline_r9_industry_equal_weight_default_start_20250116_sensitivity_20260712_031917_060752,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\default\2025-01-16\monthly_equal_weight\baseline_r9_industry_equal_weight_default_start_20250116_sensitivity_20260712_031917_060752,0.057493363777415984,0.140715310825833,0.1851734536071543,-0.12608339214544062,0.7599108192060872,1.2792678982651418,79,79,0,16,0.009408450615237623,0.00022551034309991366
default,2025-03-17,baseline_r9_industry_equal_weight_default_start_20250317_sensitivity_20260712_031917_389871,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\default\2025-03-17\monthly_equal_weight\baseline_r9_industry_equal_weight_default_start_20250317_sensitivity_20260712_031917_389871,-0.026913405855771955,-0.09229206560943204,0.19576612555297337,-0.126357265955772,-0.47144042590993734,1.9901242809210404,55,55,0,16,0.014352939977208237,0.00022428406329029217
default,2025-05-16,baseline_r9_industry_equal_weight_default_start_20250516_sensitivity_20260712_031917_683259,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\default\2025-05-16\monthly_equal_weight\baseline_r9_industry_equal_weight_default_start_20250516_sensitivity_20260712_031917_683259,0.03431461110417611,0.31556388781207456,0.1057614500709155,-0.02133497642237714,2.9837326133528017,4.1036075030734604,29,29,0,16,0.03245624079847475,0.00022485077990982603
stress,2020-03-16,baseline_r9_industry_equal_weight_stress_start_20200316_sensitivity_20260712_031917_940917,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\stress\2020-03-16\monthly_equal_weight\baseline_r9_industry_equal_weight_stress_start_20200316_sensitivity_20260712_031917_940917,0.3927865599443603,0.06723740303030512,0.20418108069148663,-0.3634543731496416,0.3293028071092416,0.3389731496912409,884,889,5,16,0.0014646005676817034,0.0011283175247184993
stress,2020-05-18,baseline_r9_industry_equal_weight_stress_start_20200518_sensitivity_20260712_031919_169290,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\stress\2020-05-18\monthly_equal_weight\baseline_r9_industry_equal_weight_stress_start_20200518_sensitivity_20260712_031919_169290,0.3119650949981403,0.05663808428403572,0.20356736622694313,-0.36363800263848556,0.27822772055170103,0.34543803008799573,855,860,5,16,0.0014867023406659853,0.001129724661069005
stress,2020-07-16,baseline_r9_industry_equal_weight_stress_start_20200716_sensitivity_20260712_031920_361342,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\stress\2020-07-16\monthly_equal_weight\baseline_r9_industry_equal_weight_stress_start_20200716_sensitivity_20260712_031920_361342,0.11007105080429991,0.022152589921709875,0.2001156095356694,-0.36368905891604786,0.11069896033153431,0.36389301228795,830,835,5,16,0.0015579891056221652,0.001129634035572621
stress,2020-09-16,baseline_r9_industry_equal_weight_stress_start_20200916_sensitivity_20260712_031921_510055,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\stress\2020-09-16\monthly_equal_weight\baseline_r9_industry_equal_weight_stress_start_20200916_sensitivity_20260712_031921_510055,0.09424687946614041,0.019810545536312896,0.1989614461737452,-0.36378466938092835,0.09956977051228873,0.3704707842409539,804,809,5,16,0.0015783015364022946,0.0011317066657025594
stress,2020-11-16,baseline_r9_industry_equal_weight_stress_start_20201116_sensitivity_20260712_031922_649101,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\stress\2020-11-16\monthly_equal_weight\baseline_r9_industry_equal_weight_stress_start_20201116_sensitivity_20260712_031922_649101,0.02379964405974011,0.005306219036500304,0.19906273209770242,-0.3638403527274041,0.026656014315607535,0.38138214724077985,776,781,5,16,0.0016692452155749988,0.0011267482068407384
stress,2021-01-18,baseline_r9_industry_equal_weight_stress_start_20210118_sensitivity_20260712_031923_784102,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\stress\2021-01-18\monthly_equal_weight\baseline_r9_industry_equal_weight_stress_start_20210118_sensitivity_20260712_031923_784102,-0.06896640038207957,-0.01659669640265904,0.1998324414252017,-0.3641129900851382,-0.08305306327787255,0.39481340399743725,749,754,5,16,0.0017292166208330798,0.0011295878614838999
stress,2021-03-16,baseline_r9_industry_equal_weight_stress_start_20210316_sensitivity_20260712_031924_879823,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\stress\2021-03-16\monthly_equal_weight\baseline_r9_industry_equal_weight_stress_start_20210316_sensitivity_20260712_031924_879823,0.03525738118330035,0.008431324377077942,0.19797833525965056,-0.36394975471552327,0.04258710613977119,0.38434009634357424,718,723,5,16,0.0017591801097276945,0.0011283515974591268
stress,2021-05-17,baseline_r9_industry_equal_weight_stress_start_20210517_sensitivity_20260712_031925_917120,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\stress\2021-05-17\monthly_equal_weight\baseline_r9_industry_equal_weight_stress_start_20210517_sensitivity_20260712_031925_917120,-0.044124489010019974,-0.011307734932637814,0.19943378022390737,-0.3639051439431241,-0.056699195692637656,0.4002650977412398,685,690,5,16,0.0018321638873969794,0.0011256448540961884
stress,2021-07-16,baseline_r9_industry_equal_weight_stress_start_20210716_sensitivity_20260712_031926_934426,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\stress\2021-07-16\monthly_equal_weight\baseline_r9_industry_equal_weight_stress_start_20210716_sensitivity_20260712_031926_934426,-0.10634416911491973,-0.029172609503455238,0.2011777885512366,-0.3640146474499172,-0.1450090972444777,0.41086362507840685,659,664,5,16,0.001863836104616373,0.0011219198596722647
stress,2021-09-16,baseline_r9_industry_equal_weight_stress_start_20210916_sensitivity_20260712_031927_901762,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\stress\2021-09-16\monthly_equal_weight\baseline_r9_industry_equal_weight_stress_start_20210916_sensitivity_20260712_031927_901762,-0.11901719272437972,-0.03437102648850077,0.20171362714858193,-0.364088001293412,-0.17039516355126133,0.40428180774355327,627,632,5,16,0.002022815760505002,0.0011164014078515094
stress,2021-11-16,baseline_r9_industry_equal_weight_stress_start_20211116_sensitivity_20260712_031928_850911,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\stress\2021-11-16\monthly_equal_weight\baseline_r9_industry_equal_weight_stress_start_20211116_sensitivity_20260712_031928_850911,-0.10841993910713998,-0.032437753998229235,0.20406013430162567,-0.3640754047388004,-0.158961739926537,0.40653618216967913,602,607,5,16,0.002026375460892036,0.001119596735706959
stress,2022-01-17,baseline_r9_industry_equal_weight_stress_start_20220117_sensitivity_20260712_031929_766860,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\stress\2022-01-17\monthly_equal_weight\baseline_r9_industry_equal_weight_stress_start_20220117_sensitivity_20260712_031929_766860,-0.10843710322387978,-0.03408700185118729,0.2070020762798863,-0.33380833697040235,-0.16466985483323587,0.4123542625741282,575,580,5,16,0.0017370846840347154,0.0011163401660781408
stress,2022-03-16,baseline_r9_industry_equal_weight_stress_start_20220316_sensitivity_20260712_031930_662914,D:\qcy_project\strategy\platform\results\sensitivity_raw\monthly_equal_weight\20260712_031853\stress\2022-03-16\monthly_equal_weight\baseline_r9_industry_equal_weight_stress_start_20220316_sensitivity_20260712_031930_662914,0.01074800457088032,0.0033859517279171136,0.20357896691647231,-0.2901562473646063,0.01663212943460096,0.3956418898413333,542,547,5,16,0.0018776153778558352,0.0011086932112130952
