slippage_scenario,start_date,run_id,raw_path,total_return,annualized_return,annualized_return_active,first_trade_date,active_observations,annualized_volatility,max_drawdown,sharpe_ratio,active_sharpe_ratio,annualized_turnover,trade_count,order_count,rejected_order_count,max_pending_intent_count,average_cash_weight,execution_slippage
default,2023-06-13,domestic_cvar_dynamic_budget_bond_30y_511090_default_start_20230613_sensitivity_20260804_142109_687818,D:\strategy\platform\results\sensitivity\risk_parity_cvar_dynamic_budget\20260804_142109\default\2023-06-13\risk_parity_cvar_dynamic_budget\domestic_cvar_dynamic_budget_bond_30y_511090_default_start_20230613_sensitivity_20260804_142109_687818,0.5118577096058281,0.14668419342042505,0.17548848856836052,2023-12-11,640,0.06706233947517504,-0.04506756102251397,2.187281185958689,2.4034066192056036,0.5920895744234559,58,59,1,3,0.16277832208608817,0.0002952139405148548
default,2023-08-14,domestic_cvar_dynamic_budget_bond_30y_511090_default_start_20230814_sensitivity_20260804_142110_114359,D:\strategy\platform\results\sensitivity\risk_parity_cvar_dynamic_budget\20260804_142109\default\2023-08-14\risk_parity_cvar_dynamic_budget\domestic_cvar_dynamic_budget_bond_30y_511090_default_start_20230814_sensitivity_20260804_142110_114359,0.4400959389552159,0.1363551954834381,0.1667494819475539,2024-02-08,598,0.06830160254826464,-0.04496315635813197,1.996368904918213,2.2293947138719497,0.6016599213129609,54,55,1,3,0.17255771753156576,0.0002965007708732111
default,2023-10-13,domestic_cvar_dynamic_budget_bond_30y_511090_default_start_20231013_sensitivity_20260804_142110_546020,D:\strategy\platform\results\sensitivity\risk_parity_cvar_dynamic_budget\20260804_142109\default\2023-10-13\risk_parity_cvar_dynamic_budget\domestic_cvar_dynamic_budget_bond_30y_511090_default_start_20231013_sensitivity_20260804_142110_546020,0.3616849545913561,0.12102232826978065,0.1486228710997295,2024-04-12,560,0.0687022483811579,-0.045089984999490795,1.7615482916709304,1.9635089350266908,0.6196032931219634,55,56,1,3,0.18218280748650695,0.0003044729297632407
default,2023-12-13,domestic_cvar_dynamic_budget_bond_30y_511090_default_start_20231213_sensitivity_20260804_142110_946750,D:\strategy\platform\results\sensitivity\risk_parity_cvar_dynamic_budget\20260804_142109\default\2023-12-13\risk_parity_cvar_dynamic_budget\domestic_cvar_dynamic_budget_bond_30y_511090_default_start_20231213_sensitivity_20260804_142110_946750,0.3735232910092079,0.133556236653394,0.16627424174011107,2024-06-18,517,0.06893586309288507,-0.04509852954382365,1.937398484058125,2.1740617904517814,0.6128504764452045,48,49,1,3,0.193158069756932,0.0002946144567583335
default,2024-02-19,domestic_cvar_dynamic_budget_bond_30y_511090_default_start_20240219_sensitivity_20260804_142111_331297,D:\strategy\platform\results\sensitivity\risk_parity_cvar_dynamic_budget\20260804_142109\default\2024-02-19\risk_parity_cvar_dynamic_budget\domestic_cvar_dynamic_budget_bond_30y_511090_default_start_20240219_sensitivity_20260804_142111_331297,0.3586099644111842,0.13810077138122034,0.17787138641506295,2024-08-14,476,0.06935973684771837,-0.0450238873842953,1.9910798059171593,2.2942654714788637,0.5909017636637813,39,40,1,3,0.20608816108212552,0.00029099209565970114
default,2024-04-15,domestic_cvar_dynamic_budget_bond_30y_511090_default_start_20240415_sensitivity_20260804_142111_712141,D:\strategy\platform\results\sensitivity\risk_parity_cvar_dynamic_budget\20260804_142109\default\2024-04-15\risk_parity_cvar_dynamic_budget\domestic_cvar_dynamic_budget_bond_30y_511090_default_start_20240415_sensitivity_20260804_142111_712141,0.22349193023968805,0.09519390662328142,0.12305377405223661,2024-10-16,438,0.05905087325185768,-0.04502365107187256,1.6120660268184386,1.8461885223656438,0.5538743210818949,32,33,1,3,0.21996756329871112,0.0003136270074819703
default,2024-06-13,domestic_cvar_dynamic_budget_bond_30y_511090_default_start_20240613_sensitivity_20260804_142112_071597,D:\strategy\platform\results\sensitivity\risk_parity_cvar_dynamic_budget\20260804_142109\default\2024-06-13\risk_parity_cvar_dynamic_budget\domestic_cvar_dynamic_budget_bond_30y_511090_default_start_20240613_sensitivity_20260804_142112_071597,0.191529646777288,0.08863321899838472,0.11525345750004057,2024-12-10,399,0.05855769349935253,-0.04484663661711186,1.513605022700642,1.7258612980626704,0.585521496914828,33,34,1,3,0.23591918071356419,0.00031419614510184654
default,2024-08-13,domestic_cvar_dynamic_budget_bond_30y_511090_default_start_20240813_sensitivity_20260804_142112_433286,D:\strategy\platform\results\sensitivity\risk_parity_cvar_dynamic_budget\20260804_142109\default\2024-08-13\risk_parity_cvar_dynamic_budget\domestic_cvar_dynamic_budget_bond_30y_511090_default_start_20240813_sensitivity_20260804_142112_433286,0.13094251854155603,0.06716785211335519,0.09059459237010858,2025-02-18,356,0.05815919342561022,-0.04504363441431325,1.1548965547341659,1.3459369140036463,0.5965160922374715,29,30,1,3,0.2584531178468278,0.0003184115392904903
default,2024-10-14,domestic_cvar_dynamic_budget_bond_30y_511090_default_start_20241014_sensitivity_20260804_142112_767166,D:\strategy\platform\results\sensitivity\risk_parity_cvar_dynamic_budget\20260804_142109\default\2024-10-14\risk_parity_cvar_dynamic_budget\domestic_cvar_dynamic_budget_bond_30y_511090_default_start_20241014_sensitivity_20260804_142112_767166,0.09171209956262039,0.05153942876910089,0.07564834725776604,2025-04-11,319,0.054820721497290704,-0.045018583928687184,0.940145028402226,1.1773832838213851,0.5942203380859282,30,31,1,3,0.28135484041778086,0.00029991176048442937
default,2024-12-13,domestic_cvar_dynamic_budget_bond_30y_511090_default_start_20241213_sensitivity_20260804_142113_078645,D:\strategy\platform\results\sensitivity\risk_parity_cvar_dynamic_budget\20260804_142109\default\2024-12-13\risk_parity_cvar_dynamic_budget\domestic_cvar_dynamic_budget_bond_30y_511090_default_start_20241213_sensitivity_20260804_142113_078645,0.08425994983825591,0.05282848965774489,0.0762776578869857,2025-06-18,275,0.05285206985595024,-0.045167041543153874,0.9995538453220542,1.2024174388243212,0.6173328391781288,27,28,1,3,0.3077881638763757,0.00026169637964549935
