slippage_scenario,start_date,run_id,raw_path,total_return,annualized_return,annualized_volatility,max_drawdown,sharpe_ratio,annualized_turnover,trade_count,order_count,rejected_order_count,max_pending_intent_count,average_cash_weight,execution_slippage
default,2019-01-18,baseline_r1_domestic_ewma_default_start_20190118_sensitivity_20260711_132707_244762,D:\strategy\platform\results\sensitivity_raw\risk_parity_ewma\20260711_132707\default\2019-01-18\risk_parity_ewma\baseline_r1_domestic_ewma_default_start_20190118_sensitivity_20260711_132707_244762,1.3616940429295235,0.14881831058283956,0.07327838462665141,-0.07702400782057228,2.03086232510527,0.6093127309273493,164,164,0,4,0.023290285347905185,0.00032636306829183533
default,2019-03-18,baseline_r1_domestic_ewma_default_start_20190318_sensitivity_20260711_132708_012412,D:\strategy\platform\results\sensitivity_raw\risk_parity_ewma\20260711_132707\default\2019-03-18\risk_parity_ewma\baseline_r1_domestic_ewma_default_start_20190318_sensitivity_20260711_132708_012412,1.3974253742401865,0.15545043665585667,0.07306804014595189,-0.07720407666479567,2.127475108752714,0.5937716609217006,160,160,0,4,0.02317922501094363,0.0003279041867171805
default,2019-05-20,baseline_r1_domestic_ewma_default_start_20190520_sensitivity_20260711_132708_735951,D:\strategy\platform\results\sensitivity_raw\risk_parity_ewma\20260711_132707\default\2019-05-20\risk_parity_ewma\baseline_r1_domestic_ewma_default_start_20190520_sensitivity_20260711_132708_735951,1.2300065313574038,0.14589895881160375,0.07337080104253321,-0.0771366780066729,1.9885152777196178,0.5828194603570955,144,144,0,4,0.024969352052909132,0.0003181407761615135
default,2019-07-18,baseline_r1_domestic_ewma_default_start_20190718_sensitivity_20260711_132709_529722,D:\strategy\platform\results\sensitivity_raw\risk_parity_ewma\20260711_132707\default\2019-07-18\risk_parity_ewma\baseline_r1_domestic_ewma_default_start_20190718_sensitivity_20260711_132709_529722,1.1676474382236899,0.144765315521165,0.07377196539253264,-0.07703079057319262,1.9623350787915768,0.5815429124054531,135,135,0,4,0.025121381972299562,0.00031433969364098126
default,2019-09-18,baseline_r1_domestic_ewma_default_start_20190918_sensitivity_20260711_132710_260995,D:\strategy\platform\results\sensitivity_raw\risk_parity_ewma\20260711_132707\default\2019-09-18\risk_parity_ewma\baseline_r1_domestic_ewma_default_start_20190918_sensitivity_20260711_132710_260995,1.198726447371413,0.15248383064433457,0.07472736475029929,-0.07670571515585922,2.0405353668479775,0.6115069749658381,138,138,0,4,0.02553866167136897,0.0003177659828692173
default,2019-11-18,baseline_r1_domestic_ewma_default_start_20191118_sensitivity_20260711_132710_948815,D:\strategy\platform\results\sensitivity_raw\risk_parity_ewma\20260711_132707\default\2019-11-18\risk_parity_ewma\baseline_r1_domestic_ewma_default_start_20191118_sensitivity_20260711_132710_948815,1.132800810102443,0.15055602214845543,0.07505734096616132,-0.07713140717039457,2.005880040652276,0.654129316771662,155,155,0,4,0.025951278662215273,0.0003239855729809008
default,2020-01-20,baseline_r1_domestic_ewma_default_start_20200120_sensitivity_20260711_132711_642702,D:\strategy\platform\results\sensitivity_raw\risk_parity_ewma\20260711_132707\default\2020-01-20\risk_parity_ewma\baseline_r1_domestic_ewma_default_start_20200120_sensitivity_20260711_132711_642702,0.9844082763591588,0.14011825883707174,0.07546255732982474,-0.0757640785047512,1.8567918156372023,0.6321489395311288,131,131,0,4,0.02723878464357132,0.0003206761049691237
default,2020-03-18,baseline_r1_domestic_ewma_default_start_20200318_sensitivity_20260711_132712_307444,D:\strategy\platform\results\sensitivity_raw\risk_parity_ewma\20260711_132707\default\2020-03-18\risk_parity_ewma\baseline_r1_domestic_ewma_default_start_20200318_sensitivity_20260711_132712_307444,0.9826519690738145,0.14412827494476943,0.07262810644722949,-0.047201412884989136,1.9844696770318653,0.6362131606750396,127,127,0,4,0.02751478885184345,0.00031579266303365864
default,2020-05-18,baseline_r1_domestic_ewma_default_start_20200518_sensitivity_20260711_132712_978097,D:\strategy\platform\results\sensitivity_raw\risk_parity_ewma\20260711_132707\default\2020-05-18\risk_parity_ewma\baseline_r1_domestic_ewma_default_start_20200518_sensitivity_20260711_132712_978097,0.951985058720368,0.14534746424980693,0.07361861914916505,-0.04722731160381899,1.9743302160463763,0.6473590130455931,129,129,0,4,0.02847048615570509,0.0003182141449474895
default,2020-07-20,baseline_r1_domestic_ewma_default_start_20200720_sensitivity_20260711_132713_584552,D:\strategy\platform\results\sensitivity_raw\risk_parity_ewma\20260711_132707\default\2020-07-20\risk_parity_ewma\baseline_r1_domestic_ewma_default_start_20200720_sensitivity_20260711_132713_584552,0.8345763575812764,0.13602705294272321,0.06871706497467325,-0.047343872171918155,1.9795236160458556,0.6443795386676263,124,124,0,4,0.028513533114756615,0.0003115801701488993
