slippage_scenario,start_date,run_id,raw_path,total_return,annualized_return,annualized_return_active,first_trade_date,active_observations,annualized_volatility,max_drawdown,sharpe_ratio,active_sharpe_ratio,annualized_turnover,trade_count,order_count,rejected_order_count,max_pending_intent_count,average_cash_weight,execution_slippage
default,2023-06-13,domestic_dividend_commodity_expected_shortfall_fixed_budget_511090_30y_1000k_default_start_20230613_sensitivity_20260804_131446_338377,D:\strategy\platform\results\sensitivity\risk_parity_expected_shortfall_fixed_budget\20260804_131446\default\2023-06-13\risk_parity_expected_shortfall_fixed_budget\domestic_dividend_commodity_expected_shortfall_fixed_budget_511090_30y_1000k_default_start_20230613_sensitivity_20260804_131446_338377,0.293157894441036,0.08886153687549947,0.10538260287277956,2023-12-11,640,0.06299721031508013,-0.06342347286218297,1.4105630460628191,1.5351037033180592,0.6687015139546433,81,82,1,6,0.16167400311683588,0.0003426113759910269
default,2023-08-14,domestic_dividend_commodity_expected_shortfall_fixed_budget_511090_30y_1000k_default_start_20230814_sensitivity_20260804_131450_397237,D:\strategy\platform\results\sensitivity\risk_parity_expected_shortfall_fixed_budget\20260804_131446\default\2023-08-14\risk_parity_expected_shortfall_fixed_budget\domestic_dividend_commodity_expected_shortfall_fixed_budget_511090_30y_1000k_default_start_20230814_sensitivity_20260804_131450_397237,0.24910908256139597,0.08107830488903733,0.09884933327288459,2024-02-08,598,0.06426483220122507,-0.06296661375532131,1.2616278937003393,1.4034054393761657,0.7264053917738008,83,84,1,6,0.171866569011405,0.0003471802448861276
default,2023-10-13,domestic_dividend_commodity_expected_shortfall_fixed_budget_511090_30y_1000k_default_start_20231013_sensitivity_20260804_131455_067838,D:\strategy\platform\results\sensitivity\risk_parity_expected_shortfall_fixed_budget\20260804_131446\default\2023-10-13\risk_parity_expected_shortfall_fixed_budget\domestic_dividend_commodity_expected_shortfall_fixed_budget_511090_30y_1000k_default_start_20231013_sensitivity_20260804_131455_067838,0.19168565046685604,0.06704611222260093,0.08172029696679073,2024-04-12,560,0.06465525278286649,-0.0634128673138813,1.0369785800353102,1.1463362179426186,0.7428577652203687,80,81,1,6,0.18215349972819694,0.00034819022900106254
default,2023-12-13,domestic_dividend_commodity_expected_shortfall_fixed_budget_511090_30y_1000k_default_start_20231213_sensitivity_20260804_131458_954785,D:\strategy\platform\results\sensitivity\risk_parity_expected_shortfall_fixed_budget\20260804_131446\default\2023-12-13\risk_parity_expected_shortfall_fixed_budget\domestic_dividend_commodity_expected_shortfall_fixed_budget_511090_30y_1000k_default_start_20231213_sensitivity_20260804_131458_954785,0.18509798503753605,0.06937930829109118,0.08581975843320344,2024-06-18,517,0.06452136259789155,-0.05263491828619227,1.0752920505333279,1.1975578818852683,0.6885992272599907,68,69,1,6,0.19216731220967023,0.0003460903403534351
default,2024-02-19,domestic_dividend_commodity_expected_shortfall_fixed_budget_511090_30y_1000k_default_start_20240219_sensitivity_20260804_131502_537234,D:\strategy\platform\results\sensitivity\risk_parity_expected_shortfall_fixed_budget\20260804_131446\default\2024-02-19\risk_parity_expected_shortfall_fixed_budget\domestic_dividend_commodity_expected_shortfall_fixed_budget_511090_30y_1000k_default_start_20240219_sensitivity_20260804_131502_537234,0.2140191599866963,0.08530671391436373,0.10928586442278765,2024-08-14,476,0.06468066823390152,-0.03883710337423474,1.3188904234240941,1.5097820045801287,0.7062535480639901,66,67,1,6,0.20607307494729796,0.00034887089929297655
default,2024-04-15,domestic_dividend_commodity_expected_shortfall_fixed_budget_511090_30y_1000k_default_start_20240415_sensitivity_20260804_131505_918775,D:\strategy\platform\results\sensitivity\risk_parity_expected_shortfall_fixed_budget\20260804_131446\default\2024-04-15\risk_parity_expected_shortfall_fixed_budget\domestic_dividend_commodity_expected_shortfall_fixed_budget_511090_30y_1000k_default_start_20240415_sensitivity_20260804_131505_918775,0.1290273831550519,0.05623229323510204,0.07218221069583852,2024-10-16,438,0.055391819232026684,-0.038702787742022515,1.0151732514787926,1.1535732911973298,0.6639474985121722,57,58,1,6,0.21989316842418954,0.00036513325248017567
default,2024-06-13,domestic_dividend_commodity_expected_shortfall_fixed_budget_511090_30y_1000k_default_start_20240613_sensitivity_20260804_131509_117370,D:\strategy\platform\results\sensitivity\risk_parity_expected_shortfall_fixed_budget\20260804_131446\default\2024-06-13\risk_parity_expected_shortfall_fixed_budget\domestic_dividend_commodity_expected_shortfall_fixed_budget_511090_30y_1000k_default_start_20240613_sensitivity_20260804_131509_117370,0.11423577569951648,0.05381851522707515,0.07070205219552239,2024-12-10,399,0.05417743533021144,-0.03877129957925751,0.9933750997818802,1.143153938121854,0.654814475504857,50,51,1,6,0.23461074486127434,0.0003578357624506626
default,2024-08-13,domestic_dividend_commodity_expected_shortfall_fixed_budget_511090_30y_1000k_default_start_20240813_sensitivity_20260804_131512_077282,D:\strategy\platform\results\sensitivity\risk_parity_expected_shortfall_fixed_budget\20260804_131446\default\2024-08-13\risk_parity_expected_shortfall_fixed_budget\domestic_dividend_commodity_expected_shortfall_fixed_budget_511090_30y_1000k_default_start_20240813_sensitivity_20260804_131512_077282,0.07795027480057604,0.04045180816149374,0.054912748563351155,2025-02-18,356,0.05461687631741561,-0.03871731173850024,0.7406466808244566,0.8683301647938552,0.7641355195752593,53,54,1,6,0.25508426489943575,0.0003645422712597672
default,2024-10-14,domestic_dividend_commodity_expected_shortfall_fixed_budget_511090_30y_1000k_default_start_20241014_sensitivity_20260804_131514_743974,D:\strategy\platform\results\sensitivity\risk_parity_expected_shortfall_fixed_budget\20260804_131446\default\2024-10-14\risk_parity_expected_shortfall_fixed_budget\domestic_dividend_commodity_expected_shortfall_fixed_budget_511090_30y_1000k_default_start_20241014_sensitivity_20260804_131514_743974,0.07068894696207617,0.03989380743278659,0.0578421122039372,2025-04-11,319,0.05142349393802581,-0.03876815940478462,0.775789515213912,0.958368052859896,0.698434814808359,46,47,1,6,0.2793078065000241,0.00033655326630823546
default,2024-12-13,domestic_dividend_commodity_expected_shortfall_fixed_budget_511090_30y_1000k_default_start_20241213_sensitivity_20260804_131517_110078,D:\strategy\platform\results\sensitivity\risk_parity_expected_shortfall_fixed_budget\20260804_131446\default\2024-12-13\risk_parity_expected_shortfall_fixed_budget\domestic_dividend_commodity_expected_shortfall_fixed_budget_511090_30y_1000k_default_start_20241213_sensitivity_20260804_131517_110078,0.05429325162108389,0.034217344674098316,0.04894153882642649,2025-06-18,275,0.05180166031312828,-0.03840048769859028,0.6605453274521105,0.7867822060111916,0.6975663300868941,40,41,1,6,0.30668827070931415,0.0003360495412946444
