trade_date,close_price
2022-04-13,1.541
2022-04-14,1.547
2022-04-15,1.547
2022-04-18,1.549
2022-04-19,1.588
2022-04-20,1.607
2022-04-21,1.632
2022-04-22,1.607
2022-04-25,1.553
2022-04-26,1.566
2022-04-27,1.573
2022-04-28,1.603
2022-04-29,1.607
2022-05-05,1.597
2022-05-06,1.565
2022-05-09,1.537
2022-05-10,1.547
2022-05-11,1.55
2022-05-12,1.55
2022-05-13,1.599
2022-05-16,1.637
2022-05-17,1.631
2022-05-18,1.63
2022-05-19,1.624
2022-05-20,1.646
2022-05-23,1.653
2022-05-24,1.616
2022-05-25,1.622
2022-05-26,1.626
2022-05-27,1.664
2022-05-30,1.654
2022-05-31,1.662
2022-06-01,1.632
2022-06-02,1.632
2022-06-06,1.637
2022-06-07,1.623
2022-06-08,1.654
2022-06-09,1.652
2022-06-10,1.681
2022-06-13,1.642
2022-06-14,1.636
2022-06-15,1.623
2022-06-16,1.625
2022-06-17,1.65
2022-06-20,1.629
2022-06-21,1.616
2022-06-22,1.589
2022-06-23,1.517
2022-06-24,1.494
2022-06-27,1.511
2022-06-28,1.539
2022-06-29,1.531
2022-06-30,1.542
2022-07-01,1.527
2022-07-04,1.51
2022-07-05,1.514
2022-07-06,1.499
2022-07-07,1.531
2022-07-08,1.541
2022-07-11,1.578
2022-07-12,1.571
2022-07-13,1.543
2022-07-14,1.563
2022-07-15,1.543
2022-07-18,1.569
2022-07-19,1.538
2022-07-20,1.504
2022-07-21,1.509
2022-07-22,1.485
2022-07-25,1.497
2022-07-26,1.539
2022-07-27,1.55
2022-07-28,1.564
2022-07-29,1.572
2022-08-01,1.579
2022-08-02,1.557
2022-08-03,1.557
2022-08-04,1.546
2022-08-05,1.607
2022-08-08,1.592
2022-08-09,1.592
2022-08-10,1.607
2022-08-11,1.608
2022-08-12,1.624
2022-08-15,1.595
2022-08-16,1.589
2022-08-17,1.583
2022-08-18,1.576
2022-08-19,1.594
2022-08-22,1.6
2022-08-23,1.668
2022-08-24,1.686
2022-08-25,1.656
2022-08-26,1.631
2022-08-29,1.639
2022-08-30,1.628
2022-08-31,1.639
2022-09-01,1.631
2022-09-02,1.657
2022-09-05,1.675
2022-09-06,1.649
2022-09-07,1.661
2022-09-08,1.661
2022-09-09,1.666
2022-09-13,1.758
2022-09-14,1.75
2022-09-15,1.726
2022-09-16,1.73
2022-09-19,1.735
2022-09-20,1.743
2022-09-21,1.763
2022-09-22,1.769
2022-09-23,1.753
2022-09-26,1.741
2022-09-27,1.745
2022-09-28,1.762
2022-09-29,1.8
2022-09-30,1.774
2022-10-10,1.779
2022-10-11,1.755
2022-10-12,1.769
2022-10-13,1.773
2022-10-14,1.805
2022-10-17,1.76
2022-10-18,1.737
2022-10-19,1.735
2022-10-20,1.743
2022-10-21,1.741
2022-10-24,1.755
2022-10-25,1.752
2022-10-26,1.778
2022-10-27,1.769
2022-10-28,1.754
2022-10-31,1.783
2022-11-01,1.834
2022-11-02,1.827
2022-11-03,1.825
2022-11-04,1.823
2022-11-07,1.833
2022-11-08,1.847
2022-11-09,1.849
2022-11-10,1.868
2022-11-11,1.838
2022-11-14,1.807
2022-11-15,1.804
2022-11-16,1.813
2022-11-17,1.803
2022-11-18,1.787
2022-11-21,1.796
2022-11-22,1.81
2022-11-23,1.831
